name,latitude,longitude,stop_type,zone_name
Ameerpet,17.43254,78.447222,metro,Ameerpet
Balanagar,17.478017,78.422092,metro,Kukatpally
Begumpet,17.437901,78.457131,metro,Ameerpet
Bharatnagar,17.467865,78.430523,metro,Kukatpally
Erragadda Road,17.462783,78.433956,metro,Ameerpet
ESI Hospital,17.447596,78.439302,metro,Ameerpet
Habsiguda,17.420378,78.540548,metro,Uppal
J.N.T.U College,17.499621,78.388758,metro,Kukatpally
K.P.H.B. Colony,17.493973,78.40173,metro,Kukatpally
Kukatpally,17.486155,78.411546,metro,Kukatpally
Mettuguda,17.435981,78.519539,metro,Secunderabad
Miyapur,17.502306,78.373452,metro,Miyapur
Moosapet,17.479335,78.426323,metro,Kukatpally
Nagole,17.397753,78.558502,metro,Uppal
NGRI,17.415034,78.546245,metro,Uppal
Parade Grounds,17.446864,78.498936,metro,Secunderabad
Paradise_Khairtabad,17.411458,78.471217,metro,Banjara Hills
Paradise_Habsiguda,17.405161,78.545562,metro,Uppal
Prakash Nagar,17.445084,78.465826,metro,Begumpet
Rasoolpura,17.444099,78.476448,metro,Begumpet
S.R Nagar,17.442463,78.441738,metro,Ameerpet
Secunderabad,17.439799,78.505338,metro,Secunderabad
Stadium ,17.407709,78.554204,metro,Uppal
Tarnaka,17.43161,78.528512,metro,Secunderabad
Uppal,17.40202,78.56056,metro,Uppal
Arts College,17.41808,78.519292,mmts,Secunderabad
Begumpet,17.438913,78.458278,mmts,Begumpet
Bharatnagar,17.462441,78.429409,mmts,Kukatpally
Borabanda,17.45945,78.407864,mmts,Madhapur
Budvel,17.311252,78.423094,mmts,Old City
Chandanagar,17.487582,78.33268,mmts,Miyapur
Dabirpura,17.366787,78.490456,mmts,Old City
Falaknuma,17.328298,78.474347,mmts,Old City
Fatehnagar,17.456086,78.450266,mmts,Ameerpet
Hafeezpet,17.483031,78.363021,mmts,Miyapur
Hitech City,17.469992,78.385318,mmts,Kondapur
Huppuguda,17.341555,78.48249,mmts,Old City
Hyderabad,17.392741,78.467579,mmts,Banjara Hills
Jamai Osmania,17.411729,78.518317,mmts,Secunderabad
James Street,17.433109,78.487273,mmts,Secunderabad
Kacheguda,17.389513,78.499261,mmts,Old City
Khairatabad,17.412629,78.46053,mmts,Banjara Hills
Lakdikapul,17.404235,78.463355,mmts,Banjara Hills
Lallaguda Gate,17.441018,78.524504,mmts,Secunderabad
Lingampally,17.483298,78.317798,mmts,Miyapur
Malakpet,17.37648,78.494782,mmts,Old City
Malkajgiri,17.455953,78.530237,mmts,Secunderabad
NatureCureHospital,17.445949,78.452214,mmts,Ameerpet
Necklace Road,17.424711,78.462816,mmts,Begumpet
NPA Shivrampalli ,17.323699,78.437111,mmts,Old City
SanjeevaiahPark,17.435708,78.476721,mmts,Begumpet
Secunderabad,17.434006,78.501655,mmts,Secunderabad
Sitafalmandi,17.429461,78.519625,mmts,Secunderabad
Umdanagar,17.263602,78.393105,mmts,Old City
Vidyanagar,17.402485,78.511161,mmts,Secunderabad
Yakutpura,17.36032,78.492113,mmts,Old City
30c bus stop,17.4963,78.42857,bus,Kukatpally
35 bus stop ground,17.47532,78.55641,bus,Secunderabad
6 number,17.39164,78.51092,bus,Old City
7 temples,17.51731,78.51293,bus,Secunderabad
8v x road bus stop,17.32553,78.57151,bus,LB Nagar
9th phase rtc bustop,17.48543,78.38575,bus,Kukatpally
a s rao nagar,17.47696,78.5638,bus,Uppal
a s rao nagar(pickup van),17.47375,78.56963,bus,Uppal
a-type bus stop,17.45299,78.59078,bus,Uppal
a. p. s. r. t. c kushaiguda depot,17.46854,78.5652,bus,Uppal
a.c. guards,17.40289,78.45958,bus,Banjara Hills
a.c. guards,17.40313,78.45978,bus,Banjara Hills
a.c.b. office,17.41279,78.42912,bus,Banjara Hills
a.c.b. office,17.41271,78.42948,bus,Banjara Hills
a.g. colony,17.44817,78.43033,bus,Ameerpet
a.g. colony,17.44834,78.43029,bus,Ameerpet
a.o.c.,17.47436,78.51717,bus,Secunderabad
a.o.c.,17.47431,78.51755,bus,Secunderabad
a.o.c. center a,17.45331,78.51185,bus,Secunderabad
a.o.c. chowk,17.45907,78.51533,bus,Secunderabad
a.o.c. chowk,17.45906,78.51564,bus,Secunderabad
a.o.c. gouha road,17.45792,78.51442,bus,Secunderabad
a.o.c. gouha road,17.45878,78.51502,bus,Secunderabad
a.p.s.r.t.c,17.45425,78.41586,bus,Madhapur
a.p.s.r.t.c bus stop,17.32864,78.5753,bus,LB Nagar
a.p.s.r.t.c bus stop - pedda amberpet,17.32168,78.63864,bus,LB Nagar
a.p.s.r.t.c shamshabad bus station,17.26245,78.38777,bus,Old City
a.s. rao nagar,17.47998,78.55678,bus,Secunderabad
aaramghar bus stop,17.32106,78.43151,bus,Old City
abdullapur,17.32023,78.69244,bus,LB Nagar
abdullapur met bus stop,17.31014,78.68635,bus,LB Nagar
abdullapur sc colony bus stop,17.32231,78.69404,bus,LB Nagar
abdullapur village,17.32036,78.6924,bus,LB Nagar
abdullapurmet,17.31025,78.68635,bus,LB Nagar
abdullapurmet,17.30997,78.68668,bus,LB Nagar
abdullapurmet,17.30986,78.68637,bus,LB Nagar
abdullapurmet bus stop,17.3095,78.68693,bus,LB Nagar
abids,17.39194,78.47664,bus,Old City
abids,17.39207,78.47695,bus,Old City
abids (g.p.o.),17.38741,78.47636,bus,Old City
abids (g.p.o.),17.38768,78.47613,bus,Old City
abids grammar school,17.39286,78.47636,bus,Old City
achchayyapalli bus stop,17.70865,78.57491,bus,Kukatpally
adarsh nagar bus stop,17.40164,78.56228,bus,Uppal
adarsh nagar bus stop,17.48299,78.32035,bus,Miyapur
adarsh nagar bus stop,17.4108,78.56431,bus,Uppal
addagutta / east maredpally,17.44556,78.51472,bus,Secunderabad
addagutta / east maredpally,17.44563,78.51452,bus,Secunderabad
addagutta bus stop,17.49755,78.39494,bus,Kukatpally
adibatla x road,17.23796,78.5409,bus,LB Nagar
adibatla x road,17.23807,78.541,bus,LB Nagar
adikmet,17.40667,78.51273,bus,Secunderabad
adikmet,17.40652,78.51253,bus,Secunderabad
adithya nagar,17.2328,78.54263,bus,LB Nagar
adithya nagar,17.23283,78.54247,bus,LB Nagar
afzal gunj,17.37431,78.46891,bus,Old City
afzalgunj,17.36798,78.46879,bus,Old City
afzalgunj,17.3736,78.47585,bus,Old City
afzalgunj,17.3739,78.47719,bus,Old City
afzalgunj,17.37622,78.47533,bus,Old City
afzalgunj / afzalgunj central library,17.37363,78.4777,bus,Old City
afzalgunj / afzalgunj central library,17.37379,78.47808,bus,Old City
afzalgunj terminal,17.37301,78.47659,bus,Old City
ag campus,17.31456,78.42471,bus,Old City
ag campus,17.3138,78.42477,bus,Old City
ag colony bus stop,17.44955,78.43053,bus,Ameerpet
ag office / birla mandir,17.40595,78.46717,bus,Banjara Hills
ag office / birla mandir,17.40616,78.46743,bus,Banjara Hills
aghapalli,17.1346,78.6715,bus,LB Nagar
aghapura,17.383,78.46556,bus,Old City
aghapura,17.38301,78.46592,bus,Old City
aghapura bus stop,17.38234,78.46372,bus,Old City
aghapura bus stop,17.38231,78.46372,bus,Old City
aghapura bus stop,17.38248,78.46102,bus,Old City
agriculture research institute,17.32137,78.39953,bus,Old City
agriculture research institute,17.32122,78.39962,bus,Old City
