date,city_code,reg_rider,reg_driver
2021-06-14,COK,0,2
2021-06-15,COK,11,601
2021-06-16,COK,15,1
2021-06-17,COK,1,1
2021-06-18,COK,6,26
2021-06-19,COK,3,0
2021-06-21,COK,3,0
2021-06-22,COK,123,0
2021-06-23,COK,90,0
2021-06-24,COK,174,0
2021-06-25,COK,65,1
2021-06-26,COK,38,1
2021-06-27,COK,39,0
2021-06-28,COK,13,0
2021-06-29,COK,20,58
2021-06-30,COK,12,1
2021-07-01,COK,5,0
2021-07-02,COK,1,17
2021-07-03,COK,10,7
2021-07-04,COK,6,1
2021-07-05,COK,6,7
2021-07-06,COK,8,9
2021-07-07,COK,15,8
2021-07-08,COK,10,14
2021-07-09,COK,14,1
2021-07-10,COK,7,0
2021-07-11,COK,15,5
2021-07-12,COK,11,0
2021-07-13,COK,31,0
2021-07-14,COK,16,11
2021-07-15,COK,10,0
2021-07-16,COK,5,5
2021-07-17,COK,16,1
2021-07-18,COK,25,0
2021-07-19,COK,16,7
2021-07-20,COK,14,0
2021-07-21,COK,30,22
2021-07-22,COK,51,7
2021-07-23,COK,73,1
2021-07-24,COK,101,3
2021-07-25,COK,100,0
2021-07-26,COK,74,7
2021-07-27,COK,32,7
2021-07-28,COK,20,6
2021-07-29,COK,14,0
2021-07-30,COK,14,3
2021-07-31,COK,32,1
2021-08-01,COK,30,4
2021-08-02,COK,23,2
2021-08-03,COK,35,0
2021-08-04,COK,23,1
2021-08-05,COK,23,0
2021-08-06,COK,15,0
2021-08-07,COK,21,0
2021-08-08,COK,8,0
2021-08-09,COK,7,2
2021-08-10,COK,34,0
2021-08-11,COK,30,0
2021-08-12,COK,15,0
2021-08-13,COK,16,1
2021-08-14,COK,16,0
2021-08-15,COK,23,0
2021-08-16,COK,21,0
2021-08-17,COK,20,0
2021-08-18,COK,15,0
2021-08-19,COK,16,0
2021-08-20,COK,7,0
2021-08-21,COK,18,0
2021-08-22,COK,17,0
2021-08-23,COK,15,0
2021-08-24,COK,10,0
2021-08-25,COK,12,0
2021-08-26,COK,19,0
2021-08-27,COK,15,0
2021-08-28,COK,18,0
2021-08-29,COK,16,0
2021-08-30,COK,20,0
2021-08-31,COK,18,0
2021-09-01,COK,18,0
2021-09-02,COK,15,0
2021-09-03,COK,9,0
2021-09-04,COK,21,0
2021-09-05,COK,21,0
2021-09-06,COK,29,1
2021-09-07,COK,20,0
2021-09-08,COK,16,1
2021-09-09,COK,13,0
2021-09-10,COK,15,0
2021-09-11,COK,20,0
2021-09-12,COK,10,0
2021-09-13,COK,18,0
2021-09-14,COK,15,0
2021-09-15,COK,33,0
2021-09-16,COK,16,0
2021-09-17,COK,13,0
2021-09-18,COK,24,0
2021-09-19,COK,14,0
2021-09-20,COK,13,0
2021-09-21,COK,19,0
2021-09-22,COK,18,1
2021-09-23,COK,20,0
2021-09-24,COK,12,0
2021-09-25,COK,8,0
2021-09-26,COK,16,0
2021-09-27,COK,19,0
2021-09-28,COK,21,0
2021-09-29,COK,34,0
2021-09-30,COK,23,0
2021-10-01,COK,21,0
2021-10-02,COK,11,2
2021-10-03,COK,18,0
2021-10-04,COK,11,1
2021-10-05,COK,15,0
2021-10-06,COK,28,0
2021-10-07,COK,20,0
2021-10-08,COK,20,8
2021-10-09,COK,23,2
2021-10-10,COK,19,0
2021-10-11,COK,14,0
2021-10-12,COK,19,0
2021-10-13,COK,15,0
2021-10-14,COK,14,2
2021-10-15,COK,28,5
2021-10-16,COK,28,6
2021-10-17,COK,18,0
2021-10-18,COK,18,1
2021-10-19,COK,16,0
2021-10-20,COK,14,2
2021-10-21,COK,10,1
2021-10-22,COK,25,1
2021-10-23,COK,31,0
2021-10-24,COK,17,0
2021-10-25,COK,24,0
2021-10-26,COK,29,1
2021-10-27,COK,24,1
2021-10-28,COK,19,3
2021-10-29,COK,19,4
2021-10-30,COK,16,0
2021-10-31,COK,23,0
2021-11-01,COK,29,1
2021-11-02,COK,21,0
2021-11-03,COK,14,7
2021-11-04,COK,15,0
2021-11-05,COK,22,18
2021-11-06,COK,18,5
2021-11-07,COK,17,0
2021-11-08,COK,5,1
2021-11-09,COK,4,1
2021-11-10,COK,3,0
2021-11-11,COK,18,3
2021-11-12,COK,4,0
2021-11-13,COK,10,7
2021-11-14,COK,9,1
2021-11-15,COK,16,0
2021-11-16,COK,22,1
2021-11-17,COK,13,5
2021-11-18,COK,19,17
2021-11-19,COK,9,7
2021-11-20,COK,11,0
2021-11-21,COK,7,0
2021-11-22,COK,10,2
2021-11-23,COK,15,1
2021-11-24,COK,11,3
2021-11-25,COK,5,1
2021-11-26,COK,21,0
2021-11-27,COK,20,2
2021-11-28,COK,5,1
2021-11-29,COK,16,1
2021-11-30,COK,24,0
2021-12-01,COK,29,13
2021-12-02,COK,31,2
2021-12-03,COK,28,0
2021-12-04,COK,36,11
2021-12-05,COK,27,0
2021-12-06,COK,39,0
2021-12-07,COK,38,3
2021-12-08,COK,16,0
2021-12-09,COK,28,2
2021-12-10,COK,34,0
2021-12-11,COK,53,1
2021-12-12,COK,40,1
2021-12-13,COK,54,0
2021-12-14,COK,33,2
2021-12-15,COK,59,12
2021-12-16,COK,30,5
2021-12-17,COK,68,3
2021-12-18,COK,69,4
2021-12-19,COK,42,4
2021-12-20,COK,61,6
2021-12-21,COK,48,2
2021-12-22,COK,38,1
2021-12-23,COK,55,0
2021-12-24,COK,45,1
2021-12-25,COK,24,1
2021-12-26,COK,48,0
2021-12-27,COK,41,9
2021-12-28,COK,24,0
2021-12-29,COK,38,0
2021-12-30,COK,21,0
2021-12-31,COK,53,0
2022-01-01,COK,46,0
2022-01-02,COK,54,1
2022-01-03,COK,111,11
2022-01-04,COK,135,3
2022-01-05,COK,179,1
2022-01-06,COK,127,2
2022-01-07,COK,107,7
2022-01-08,COK,119,0
2022-01-09,COK,99,13
2022-01-10,COK,89,4
2022-01-11,COK,114,2
2022-01-12,COK,100,9
2022-01-13,COK,87,0
2022-01-14,COK,85,3
2022-01-15,COK,71,10
2022-01-16,COK,99,1
2022-01-17,COK,79,0
2022-01-18,COK,78,1
2022-01-19,COK,67,14
2022-01-20,COK,75,5
2022-01-21,COK,81,2
2022-01-22,COK,77,6
2022-01-23,COK,102,2
2022-01-24,COK,94,3
2022-01-25,COK,78,3
2022-01-26,COK,72,2
2022-01-27,COK,70,14
2022-01-28,COK,64,2
2022-01-29,COK,89,1
2022-01-30,COK,85,8
2022-01-31,COK,85,1
2022-02-01,COK,87,3
2022-02-02,COK,112,2
2022-02-03,COK,66,6
2022-02-04,COK,115,2
2022-02-05,COK,98,1
2022-02-06,COK,153,2
2022-02-07,COK,120,2
2022-02-08,COK,138,1
2022-02-09,COK,136,19
2022-02-10,COK,55,2
2022-02-11,COK,46,2
2022-02-12,COK,44,1
2022-02-13,COK,56,4
2022-02-14,COK,42,8
2022-02-15,COK,46,0
2022-02-16,COK,42,5
2022-02-17,COK,52,1
2022-02-18,COK,45,3
2022-02-19,COK,44,11
2022-02-20,COK,54,0
2022-02-21,COK,68,1
2022-02-22,COK,46,3
2022-02-23,COK,53,0
2022-02-24,COK,139,2
2022-02-25,COK,109,6
2022-02-26,COK,154,0
2022-02-27,COK,131,0
2022-02-28,COK,161,0
2022-03-01,COK,166,3
2022-03-02,COK,58,2
2022-03-03,COK,94,1
2022-03-04,COK,107,4
2022-03-05,COK,114,0
2022-03-06,COK,91,1
2022-03-07,COK,110,0
2022-03-08,COK,131,1
2022-03-09,COK,175,1
2022-03-10,COK,209,1
2022-03-11,COK,136,8
2022-03-12,COK,135,0
2022-03-13,COK,112,5
2022-03-14,COK,97,0
2022-03-15,COK,129,10
2022-03-16,COK,119,0
2022-03-17,COK,113,0
2022-03-18,COK,155,4
2022-03-19,COK,129,2
2022-03-20,COK,122,0
2022-03-21,COK,102,1
2022-03-22,COK,126,0
2022-03-23,COK,110,0
2022-03-24,COK,51,5
2022-03-25,COK,69,2
2022-03-26,COK,59,1
2022-03-27,COK,50,0
2022-03-28,COK,134,8
2022-03-29,COK,117,5
2022-03-30,COK,156,5
2022-03-31,COK,139,0
2022-04-01,COK,135,2
2022-04-02,COK,117,0
2022-04-03,COK,135,0
2022-04-04,COK,115,2
2022-04-05,COK,124,0
2022-04-06,COK,142,1
2022-04-07,COK,144,1
2022-04-08,COK,143,0
2022-04-09,COK,138,0
2022-04-10,COK,150,2
2022-04-11,COK,132,0
2022-04-12,COK,134,0
2022-04-13,COK,140,0
2022-04-14,COK,139,0
