ac_num,date,srch_rqst,srch_fr_q,srch_which_got_q,booking,done_ride,earning,cancel_ride,cnvr_rate,bkng_cancel_rate,q_accept_rate
150,2022-09-06,4,4,0,0,0,0,0,0.0,0.0,0.0
150,2022-09-13,1,1,0,0,0,0,0,0.0,0.0,0.0
150,2022-09-18,2,4,2,2,2,263,0,1.0,0.0,0.5
150,2022-09-22,2,2,0,0,0,0,0,0.0,0.0,0.0
150,2022-09-24,1,1,0,0,0,0,0,0.0,0.0,0.0
150,2022-09-25,2,2,0,0,0,0,0,0.0,0.0,0.0
150,2022-10-10,101,1,0,0,0,0,0,0.0,0.0,0.0
150,2022-10-11,106,19,6,2,0,0,2,0.0,1.0,0.3158
150,2022-10-12,184,36,24,2,1,40,1,0.0054,0.5,0.6667
150,2022-10-13,268,85,42,11,2,87,9,0.0075,0.8182,0.4941
150,2022-10-14,165,64,44,10,4,425,6,0.0242,0.6,0.6875
150,2022-10-15,212,79,44,13,4,299,9,0.0189,0.6923,0.557
150,2022-10-16,103,28,12,2,2,186,0,0.0194,0.0,0.4286
150,2022-10-17,88,25,13,5,3,350,2,0.0341,0.4,0.52
150,2022-10-18,104,30,22,9,3,476,6,0.0288,0.6667,0.7333
150,2022-10-19,100,36,17,6,1,133,5,0.01,0.8333,0.4722
150,2022-10-20,169,36,20,6,2,323,4,0.0118,0.6667,0.5556
150,2022-10-21,188,45,24,9,4,710,5,0.0213,0.5556,0.5333
150,2022-10-22,204,73,36,7,2,80,5,0.0098,0.7143,0.4932
150,2022-10-23,107,40,30,8,2,414,6,0.0187,0.75,0.75
150,2022-10-24,117,32,16,3,0,0,3,0.0,1.0,0.5
150,2022-10-25,100,31,16,4,1,282,3,0.01,0.75,0.5161
150,2022-10-26,88,37,21,6,1,326,5,0.0114,0.8333,0.5676
150,2022-10-27,91,34,20,7,4,716,3,0.044,0.4286,0.5882
150,2022-10-28,174,69,36,17,8,1584,9,0.046,0.5294,0.5217
150,2022-10-29,384,87,43,14,5,1077,9,0.013,0.6429,0.4943
150,2022-10-30,442,103,44,11,3,982,8,0.0068,0.7273,0.4272
150,2022-10-31,387,89,51,21,9,1708,12,0.0233,0.5714,0.573
150,2022-11-01,713,159,85,24,10,1997,14,0.014,0.5833,0.5346
150,2022-11-02,586,159,91,34,19,4072,15,0.0324,0.4412,0.5723
150,2022-11-03,469,182,88,32,15,3973,17,0.032,0.5312,0.4835
150,2022-11-04,355,194,87,35,19,2518,16,0.0535,0.4571,0.4485
150,2022-11-05,456,203,76,33,22,4185,11,0.0482,0.3333,0.3744
150,2022-11-06,577,247,95,35,18,3843,17,0.0312,0.4857,0.3846
150,2022-11-07,557,253,88,36,22,3209,14,0.0395,0.3889,0.3478
150,2022-11-08,394,160,69,28,17,2783,11,0.0431,0.3929,0.4312
150,2022-11-09,336,143,45,23,11,1639,12,0.0327,0.5217,0.3147
150,2022-11-10,377,175,58,34,22,4681,12,0.0584,0.3529,0.3314
150,2022-11-11,385,143,50,17,9,1795,8,0.0234,0.4706,0.3497
150,2022-11-12,426,214,75,25,17,3915,8,0.0399,0.32,0.3505
150,2022-11-13,326,182,50,19,12,2337,7,0.0368,0.3684,0.2747
150,2022-11-14,338,181,45,19,10,1968,9,0.0296,0.4737,0.2486
150,2022-11-15,225,126,48,30,17,3446,13,0.0756,0.4333,0.381
150,2022-11-16,264,135,57,27,21,4343,6,0.0795,0.2222,0.4222
150,2022-11-17,289,130,47,26,20,3889,6,0.0692,0.2308,0.3615
150,2022-11-18,289,135,49,31,19,3988,12,0.0657,0.3871,0.363
150,2022-11-19,390,189,72,54,30,5569,24,0.0769,0.4444,0.381
150,2022-11-20,341,156,49,33,19,5114,14,0.0557,0.4242,0.3141
150,2022-11-21,195,100,48,35,16,4049,19,0.0821,0.5429,0.48
150,2022-11-22,224,105,54,38,18,3981,20,0.0804,0.5263,0.5143
150,2022-11-23,178,96,38,32,16,3815,16,0.0899,0.5,0.3958
150,2022-11-24,252,116,22,19,11,2815,8,0.0437,0.4211,0.1897
150,2022-11-25,245,124,43,42,27,5592,15,0.1102,0.3571,0.3468
150,2022-11-26,324,182,53,47,28,4915,19,0.0864,0.4043,0.2912
150,2022-11-27,395,257,48,41,27,7096,14,0.0684,0.3415,0.1868
150,2022-11-28,241,119,33,33,23,5233,10,0.0954,0.303,0.2773
150,2022-11-29,187,94,36,35,25,5901,10,0.1337,0.2857,0.383
150,2022-11-30,254,123,45,40,23,4534,17,0.0906,0.425,0.3659
150,2022-12-01,193,81,39,36,23,4450,13,0.1192,0.3611,0.4815
150,2022-12-02,237,109,41,39,21,5219,18,0.0886,0.4615,0.3761
150,2022-12-03,219,111,50,46,18,4614,28,0.0822,0.6087,0.4505
150,2022-12-04,195,80,28,24,19,3535,5,0.0974,0.2083,0.35
150,2022-12-05,167,90,37,36,26,6229,10,0.1557,0.2778,0.4111
150,2022-12-06,187,98,42,41,26,4948,15,0.139,0.3659,0.4286
150,2022-12-07,164,75,35,34,21,4799,13,0.128,0.3824,0.4667
150,2022-12-08,165,78,39,37,24,5234,13,0.1455,0.3514,0.5
150,2022-12-09,213,142,44,40,24,4559,16,0.1127,0.4,0.3099
150,2022-12-10,283,161,65,55,34,6131,21,0.1201,0.3818,0.4037
150,2022-12-11,299,149,58,47,26,6539,21,0.087,0.4468,0.3893
150,2022-12-12,228,153,56,50,23,4876,27,0.1009,0.54,0.366
150,2022-12-13,251,170,72,58,32,5979,26,0.1275,0.4483,0.4235
150,2022-12-14,218,132,56,51,29,5872,22,0.133,0.4314,0.4242
150,2022-12-15,252,128,64,55,34,6202,21,0.1349,0.3818,0.5
150,2022-12-16,188,117,61,57,31,6430,26,0.1649,0.4561,0.5214
