ac_num,date,hour,srch_rqst,srch_which_got_e,srch_fr_q,srch_which_got_q,booking,done_ride,earning,cancel_ride,drvr_cancel,rider_cancel,cnvr_rate,bkng_cancel_rate,q_accept_rate
150,2025-06-03,0,23,23,5,5,5,4,995,1,0,1,0.1739,0.2,1.0
150,2025-06-03,1,31,31,20,6,6,2,584,4,2,2,0.0645,0.6667,0.3
150,2025-06-03,2,12,12,2,2,2,1,229,1,0,1,0.0833,0.5,1.0
150,2025-06-03,3,21,21,10,9,9,4,1724,5,2,3,0.1905,0.5556,0.9
150,2025-06-03,4,64,64,21,15,15,8,2414,7,1,6,0.125,0.4667,0.7143
150,2025-06-03,5,71,71,35,26,26,21,5835,5,4,1,0.2958,0.1923,0.7429
150,2025-06-03,6,175,172,88,53,53,36,8668,17,11,6,0.2057,0.3208,0.6023
150,2025-06-03,7,477,474,304,219,219,163,38169,56,25,31,0.3417,0.2557,0.7204
150,2025-06-03,8,861,858,605,418,416,273,65019,143,88,55,0.3171,0.3438,0.6909
150,2025-06-03,9,900,888,585,405,402,257,54129,145,90,55,0.2856,0.3607,0.6923
150,2025-06-03,10,658,648,413,336,333,236,52039,97,59,38,0.3587,0.2913,0.8136
150,2025-06-03,11,496,496,280,226,223,173,30774,50,26,24,0.3488,0.2242,0.8071
150,2025-06-03,12,472,470,306,250,250,188,30792,62,40,21,0.3983,0.248,0.817
150,2025-06-03,13,505,504,309,226,224,163,24095,61,39,22,0.3228,0.2723,0.7314
150,2025-06-03,14,445,444,264,194,193,156,26679,37,21,16,0.3506,0.1917,0.7348
150,2025-06-03,15,552,551,359,260,259,194,34328,65,36,29,0.3514,0.251,0.7242
150,2025-06-03,16,743,735,438,351,349,252,47311,97,65,31,0.3392,0.2779,0.8014
150,2025-06-03,17,805,794,483,348,347,247,46119,100,65,34,0.3068,0.2882,0.7205
150,2025-06-03,18,942,937,615,396,393,241,44175,152,86,66,0.2558,0.3868,0.6439
150,2025-06-03,19,795,790,573,307,304,181,31415,121,65,55,0.2277,0.398,0.5358
150,2025-06-03,20,433,432,274,165,165,108,18111,57,31,26,0.2494,0.3455,0.6022
150,2025-06-03,21,255,253,146,93,92,66,10560,26,11,15,0.2588,0.2826,0.637
150,2025-06-03,22,151,149,66,34,34,21,3438,13,3,9,0.1391,0.3824,0.5152
150,2025-06-03,23,118,118,79,34,34,23,6052,11,4,6,0.1949,0.3235,0.4304
