date,reg_rider,reg_driver,rider_to_driver_ratio
2023-11-15,33,1,33.0
2023-11-16,66,2,33.0
2023-11-17,58,1,58.0
2023-11-18,92,1,92.0
2023-11-19,94,1,94.0
2023-11-20,111,2,55.5
2023-11-21,200,27,7.407407407407407
2023-11-22,227,32,7.09375
2023-11-23,127,26,4.884615384615385
2023-11-24,86,26,3.3076923076923075
2023-11-25,92,18,5.111111111111111
2023-11-26,55,20,2.75
2023-11-27,72,15,4.8
2023-11-28,57,21,2.7142857142857144
2023-11-29,91,17,5.352941176470588
2023-11-30,71,8,8.875
2023-12-01,69,16,4.3125
2023-12-02,78,9,8.666666666666666
2023-12-03,56,7,8.0
2023-12-04,72,19,3.789473684210526
2023-12-05,63,35,1.8
2023-12-06,76,37,2.054054054054054
2023-12-07,99,46,2.152173913043478
2023-12-08,95,65,1.4615384615384615
2023-12-09,126,92,1.3695652173913044
2023-12-10,225,22,10.227272727272727
2023-12-11,176,121,1.4545454545454546
2023-12-12,178,148,1.2027027027027026
2023-12-13,164,161,1.0186335403726707
2023-12-14,267,234,1.141025641025641
2023-12-15,337,280,1.2035714285714285
2023-12-16,390,242,1.6115702479338843
2023-12-17,334,104,3.2115384615384617
2023-12-18,267,297,0.898989898989899
2023-12-19,297,316,0.939873417721519
2023-12-20,290,317,0.9148264984227129
2023-12-21,325,234,1.3888888888888888
2023-12-22,326,221,1.4751131221719458
2023-12-23,402,183,2.19672131147541
2023-12-24,374,224,1.6696428571428572
2023-12-25,400,149,2.684563758389262
2023-12-26,396,264,1.5
2023-12-27,397,214,1.855140186915888
2023-12-28,445,323,1.3777089783281733
2023-12-29,453,349,1.2979942693409743
2023-12-30,477,284,1.6795774647887325
2023-12-31,499,216,2.310185185185185
2024-01-01,538,73,7.36986301369863
2024-01-02,576,245,2.3510204081632655
2024-01-03,557,225,2.4755555555555557
2024-01-04,630,307,2.0521172638436482
2024-01-05,465,290,1.603448275862069
2024-01-06,513,287,1.7874564459930313
2024-01-07,508,147,3.45578231292517
2024-01-08,566,255,2.219607843137255
2024-01-09,712,324,2.197530864197531
2024-01-10,904,311,2.9067524115755625
2024-01-11,634,298,2.12751677852349
2024-01-12,569,260,2.1884615384615387
2024-01-13,674,295,2.2847457627118644
2024-01-14,563,97,5.804123711340206
2024-01-15,557,67,8.313432835820896
2024-01-16,784,117,6.700854700854701
2024-01-17,835,199,4.1959798994974875
2024-01-18,888,232,3.8275862068965516
2024-01-19,844,283,2.9823321554770317
2024-01-20,787,268,2.9365671641791047
2024-01-21,732,136,5.382352941176471
2024-01-22,496,292,1.6986301369863013
2024-01-23,462,283,1.6325088339222615
2024-01-24,446,259,1.722007722007722
2024-01-25,506,318,1.5911949685534592
2024-01-26,602,260,2.3153846153846156
2024-01-27,965,375,2.5733333333333333
2024-01-28,1425,131,10.877862595419847
2024-01-29,1553,329,4.720364741641338
2024-01-30,1592,395,4.030379746835443
2024-01-31,1493,396,3.7702020202020203
2024-02-01,1176,406,2.896551724137931
2024-02-02,1112,419,2.6539379474940334
2024-02-03,1361,355,3.8338028169014087
2024-02-04,1496,147,10.17687074829932
2024-02-05,1345,393,3.422391857506361
2024-02-06,1409,391,3.6035805626598467
2024-02-07,1408,382,3.6858638743455496
2024-02-08,1374,427,3.217798594847775
2024-02-09,1187,404,2.9381188118811883
2024-02-10,1384,354,3.9096045197740112
2024-02-11,1409,107,13.16822429906542
2024-02-12,1344,318,4.226415094339623
2024-02-13,1273,357,3.565826330532213
2024-02-14,1312,300,4.373333333333333
2024-02-15,1023,294,3.479591836734694
2024-02-16,1066,122,8.737704918032787
2024-02-17,1097,279,3.931899641577061
2024-02-18,1058,92,11.5
2024-02-19,984,204,4.823529411764706
2024-02-20,977,227,4.3039647577092515
2024-02-21,894,297,3.01010101010101
2024-02-22,912,368,2.4782608695652173
2024-02-23,911,1339,0.6803584764749814
2024-02-24,1178,418,2.8181818181818183
2024-02-25,1085,105,10.333333333333334
2024-02-26,1124,352,3.1931818181818183
2024-02-27,1369,475,2.8821052631578947
2024-02-28,1390,465,2.989247311827957
2024-02-29,1895,296,6.402027027027027
2024-03-01,2696,728,3.7032967032967035
2024-03-02,2588,704,3.6761363636363638
2024-03-03,2336,344,6.790697674418604
2024-03-04,2193,624,3.514423076923077
2024-03-05,1505,629,2.39268680445151
2024-03-06,1799,493,3.6490872210953347
2024-03-07,1623,545,2.977981651376147
2024-03-08,1393,287,4.853658536585366
2024-03-09,1212,528,2.2954545454545454
2024-03-10,1276,244,5.229508196721311
2024-03-11,1581,419,3.7732696897374702
2024-03-12,1225,476,2.573529411764706
2024-03-13,1274,474,2.6877637130801686
2024-03-14,1394,519,2.6859344894026975
2024-03-15,958,484,1.9793388429752066
2024-03-16,1035,351,2.948717948717949
2024-03-17,1108,213,5.2018779342723
2024-03-18,1016,546,1.8608058608058609
2024-03-19,1139,508,2.2421259842519685
2024-03-20,1077,491,2.1934826883910388
2024-03-21,1929,540,3.5722222222222224
2024-03-22,1961,511,3.837573385518591
