ward_num,active,vehicle_type,active_drvr,drvr_notonride,drvr_onride
91,False,Not Applicable,0,0,0
105,True,Auto,5,5,0
105,True,Cab,5,5,0
60,True,Auto,1,1,0
60,True,Cab,5,5,0
95,True,Auto,1,1,0
6,True,Cab,1,1,0
59,True,Auto,1,1,0
59,True,Cab,1,1,0
133,True,Cab,2,2,0
1,True,Auto,2,2,0
1,True,Cab,1,1,0
136,True,Auto,1,1,0
136,True,Cab,2,2,0
2,True,Cab,1,1,0
5,True,Auto,1,1,0
5,True,Cab,1,1,0
7,True,Cab,2,2,0
10,True,Cab,3,3,0
12,True,Cab,1,1,0
16,True,Auto,2,2,0
16,True,Cab,1,1,0
14,True,Auto,1,1,0
14,True,Cab,4,4,0
15,True,Auto,1,1,0
15,True,Cab,4,4,0
139,True,Cab,1,1,0
20,True,Auto,1,1,0
21,False,Not Applicable,0,0,0
8,False,Not Applicable,0,0,0
9,False,Not Applicable,0,0,0
92,True,Cab,2,2,0
93,True,Auto,1,1,0
93,True,Cab,2,2,0
126,False,Not Applicable,0,0,0
124,True,Auto,2,2,0
124,True,Cab,2,2,0
128,True,Cab,1,1,0
132,True,Cab,1,1,0
130,True,Auto,2,2,0
130,True,Cab,2,2,0
129,True,Cab,1,1,0
125,True,Auto,1,1,0
125,True,Cab,1,1,0
116,True,Auto,3,3,0
114,True,Cab,2,2,0
108,True,Auto,2,2,0
108,True,Cab,4,4,0
107,True,Cab,4,4,0
109,True,Cab,3,3,0
110,False,Not Applicable,0,0,0
106,True,Auto,1,1,0
106,True,Cab,3,3,0
104,True,Auto,3,3,0
104,True,Cab,13,13,0
78,True,Cab,2,2,0
79,True,Auto,1,1,0
84,False,Not Applicable,0,0,0
81,True,Auto,1,1,0
85,True,Cab,2,2,0
87,True,Auto,1,1,0
87,True,Cab,1,1,0
89,False,Not Applicable,0,0,0
86,False,Not Applicable,0,0,0
146,True,Cab,2,2,0
88,True,Auto,1,1,0
88,True,Cab,1,1,0
145,False,Not Applicable,0,0,0
147,True,Cab,2,2,0
40,False,Not Applicable,0,0,0
36,False,Not Applicable,0,0,0
35,False,Not Applicable,0,0,0
44,False,Not Applicable,0,0,0
45,True,Cab,2,2,0
48,True,Auto,1,1,0
48,True,Cab,2,2,0
43,False,Not Applicable,0,0,0
46,True,Auto,3,3,0
46,True,Cab,1,1,0
47,True,Auto,1,1,0
54,True,Auto,1,1,0
54,True,Cab,1,1,0
55,True,Auto,2,2,0
53,True,Auto,1,1,0
53,True,Cab,1,1,0
33,True,Auto,1,1,0
33,True,Cab,1,1,0
52,True,Auto,1,1,0
32,True,Auto,2,2,0
49,False,Not Applicable,0,0,0
94,True,Auto,2,2,0
76,True,Auto,1,1,0
63,False,Not Applicable,0,0,0
64,False,Not Applicable,0,0,0
73,False,Not Applicable,0,0,0
72,False,Not Applicable,0,0,0
70,True,Cab,1,1,0
71,False,Not Applicable,0,0,0
69,False,Not Applicable,0,0,0
68,True,Cab,1,1,0
67,False,Not Applicable,0,0,0
66,True,Auto,1,1,0
100,False,Not Applicable,0,0,0
98,True,Auto,1,1,0
98,True,Cab,2,2,0
97,False,Not Applicable,0,0,0
96,False,Not Applicable,0,0,0
102,False,Not Applicable,0,0,0
101,False,Not Applicable,0,0,0
103,False,Not Applicable,0,0,0
99,False,Not Applicable,0,0,0
150,True,Auto,3,3,0
150,True,Cab,7,7,0
148,False,Not Applicable,0,0,0
149,True,Auto,1,1,0
149,True,Cab,1,1,0
90,False,Not Applicable,0,0,0
117,False,Not Applicable,0,0,0
118,True,Auto,1,1,0
118,True,Cab,2,2,0
127,False,Not Applicable,0,0,0
120,True,Cab,3,3,0
121,True,Bike,1,1,0
121,True,Cab,2,2,0
123,True,Auto,1,1,0
122,False,Not Applicable,0,0,0
119,True,Cab,1,1,0
135,True,Auto,3,3,0
135,True,Cab,2,2,0
134,True,Auto,1,1,0
134,True,Cab,1,1,0
131,True,Cab,1,1,0
115,True,Cab,1,1,0
143,False,Not Applicable,0,0,0
144,True,Auto,2,2,0
138,True,Cab,2,2,0
142,True,Auto,1,1,0
142,True,Cab,1,1,0
141,True,Auto,1,1,0
137,True,Auto,1,1,0
137,True,Cab,1,1,0
140,True,Auto,1,1,0
23,False,Not Applicable,0,0,0
22,True,Auto,1,1,0
22,True,Cab,1,1,0
19,False,Not Applicable,0,0,0
18,True,Cab,1,1,0
38,True,Auto,1,1,0
38,True,Cab,1,1,0
17,True,Auto,2,2,0
17,True,Cab,2,2,0
27,False,Not Applicable,0,0,0
24,True,Cab,1,1,0
25,False,Not Applicable,0,0,0
26,False,Not Applicable,0,0,0
28,False,Not Applicable,0,0,0
29,False,Not Applicable,0,0,0
37,False,Not Applicable,0,0,0
39,True,Auto,1,1,0
41,True,Auto,2,2,0
75,True,Bike,1,1,0
75,True,Cab,1,1,0
77,False,Not Applicable,0,0,0
50,False,Not Applicable,0,0,0
51,False,Not Applicable,0,0,0
62,False,Not Applicable,0,0,0
65,True,Cab,1,1,0
34,True,Bike,1,1,0
34,True,Cab,1,1,0
83,False,Not Applicable,0,0,0
82,True,Auto,2,2,0
80,True,Auto,1,1,0
58,True,Cab,1,1,0
57,True,Auto,1,1,0
57,True,Cab,1,1,0
56,True,Auto,2,2,0
61,True,Auto,3,3,0
61,True,Cab,3,3,0
112,True,Cab,1,1,0
111,False,Not Applicable,0,0,0
30,True,Cab,1,1,0
42,False,Not Applicable,0,0,0
74,False,Not Applicable,0,0,0
3,True,Auto,1,1,0
3,True,Cab,1,1,0
4,False,Not Applicable,0,0,0
11,True,Cab,1,1,0
13,True,Auto,1,1,0
13,True,Cab,1,1,0
113,True,Cab,1,1,0
31,False,Not Applicable,0,0,0
w_0,True,Auto,61,61,0
w_0,True,Bike,3,3,0
w_0,True,Cab,64,64,0
