date,hour,day_of_week,month,is_weekend,is_peak_hour,city,demand_level,srch_rqst,done_ride,cancel_ride,bkng_cancel_rate,ac_num
2025-06-03,0,1,6,0,0,BLR,Low,23,4,1,0.2,150
2025-06-03,1,1,6,0,0,BLR,Low,31,2,4,0.6667,150
2025-06-03,2,1,6,0,0,BLR,Low,12,1,1,0.5,150
2025-06-03,3,1,6,0,0,BLR,Low,21,4,5,0.5556,150
2025-06-03,4,1,6,0,0,BLR,Medium,64,8,7,0.4667,150
2025-06-03,5,1,6,0,0,BLR,Medium,71,21,5,0.1923,150
2025-06-03,6,1,6,0,0,BLR,Medium,175,36,17,0.3208,150
2025-06-03,7,1,6,0,0,BLR,Medium,477,163,56,0.2557,150
2025-06-03,8,1,6,0,1,BLR,High,861,273,143,0.3438,150
2025-06-03,9,1,6,0,1,BLR,High,900,257,145,0.3607,150
2025-06-03,10,1,6,0,1,BLR,High,658,236,97,0.2913,150
2025-06-03,11,1,6,0,1,BLR,Medium,496,173,50,0.2242,150
2025-06-03,12,1,6,0,0,BLR,Medium,472,188,62,0.248,150
2025-06-03,13,1,6,0,0,BLR,Medium,505,163,61,0.2723,150
2025-06-03,14,1,6,0,0,BLR,Medium,445,156,37,0.1917,150
2025-06-03,15,1,6,0,0,BLR,Medium,552,194,65,0.251,150
2025-06-03,16,1,6,0,0,BLR,High,743,252,97,0.2779,150
2025-06-03,17,1,6,0,1,BLR,High,805,247,100,0.2882,150
2025-06-03,18,1,6,0,1,BLR,High,942,241,152,0.3868,150
2025-06-03,19,1,6,0,1,BLR,High,795,181,121,0.398,150
2025-06-03,20,1,6,0,1,BLR,Medium,433,108,57,0.3455,150
2025-06-03,21,1,6,0,1,BLR,Medium,255,66,26,0.2826,150
2025-06-03,22,1,6,0,0,BLR,Medium,151,21,13,0.3824,150
2025-06-03,23,1,6,0,0,BLR,Medium,118,23,11,0.3235,150
2025-06-09,0,0,6,0,0,BLR,Medium,212,19,24,0.5581,150
2025-06-09,1,0,6,0,0,BLR,Medium,78,4,2,0.3333,150
2025-06-09,2,0,6,0,0,BLR,Medium,75,5,3,0.375,150
2025-06-09,3,0,6,0,0,BLR,Low,48,3,3,0.5,150
2025-06-09,4,0,6,0,0,BLR,Medium,98,17,5,0.2273,150
2025-06-09,5,0,6,0,0,BLR,Medium,237,44,20,0.3125,150
2025-06-09,6,0,6,0,0,BLR,Medium,295,73,21,0.2234,150
2025-06-09,7,0,6,0,0,BLR,High,712,178,76,0.2992,150
2025-06-09,8,0,6,0,1,BLR,High,1208,264,120,0.3125,150
2025-06-09,9,0,6,0,1,BLR,High,1642,310,217,0.4118,150
2025-06-09,10,0,6,0,1,BLR,High,714,245,62,0.202,150
2025-06-09,11,0,6,0,1,BLR,Medium,603,192,69,0.2644,150
2025-06-09,12,0,6,0,0,BLR,High,782,215,94,0.3042,150
2025-06-09,13,0,6,0,0,BLR,High,638,194,58,0.2302,150
2025-06-09,14,0,6,0,0,BLR,Medium,567,181,53,0.2265,150
2025-06-09,15,0,6,0,0,BLR,High,814,222,94,0.2975,150
2025-06-09,16,0,6,0,0,BLR,High,1002,253,108,0.2992,150
2025-06-09,17,0,6,0,1,BLR,High,794,220,106,0.3252,150
2025-06-09,18,0,6,0,1,BLR,High,627,202,86,0.2986,150
2025-06-09,19,0,6,0,1,BLR,Medium,543,178,81,0.3127,150
2025-06-09,20,0,6,0,1,BLR,Medium,341,114,39,0.2549,150
2025-06-09,21,0,6,0,1,BLR,Medium,252,57,36,0.3871,150
2025-06-09,22,0,6,0,0,BLR,Medium,146,33,19,0.3654,150
2025-06-09,23,0,6,0,0,BLR,Medium,54,6,5,0.4545,150
2025-06-10,0,1,6,0,0,BLR,Low,23,5,2,0.2857,150
2025-06-10,1,1,6,0,0,BLR,Low,19,3,4,0.5714,150
2025-06-10,2,1,6,0,0,BLR,Low,15,1,1,0.5,150
2025-06-10,3,1,6,0,0,BLR,Low,22,3,0,0.0,150
2025-06-10,4,1,6,0,0,BLR,Low,50,9,6,0.4,150
2025-06-10,5,1,6,0,0,BLR,Medium,102,19,13,0.4062,150
2025-06-10,6,1,6,0,0,BLR,Medium,227,67,32,0.3232,150
2025-06-10,7,1,6,0,0,BLR,High,623,168,68,0.2881,150
2025-06-10,8,1,6,0,1,BLR,High,1041,270,160,0.3721,150
2025-06-10,9,1,6,0,1,BLR,High,1174,292,195,0.4004,150
2025-06-10,10,1,6,0,1,BLR,High,713,232,95,0.2896,150
2025-06-10,11,1,6,0,1,BLR,Medium,487,175,64,0.2678,150
2025-06-10,12,1,6,0,0,BLR,High,658,199,85,0.2993,150
2025-06-10,13,1,6,0,0,BLR,Medium,497,182,55,0.2321,150
2025-06-10,14,1,6,0,0,BLR,Medium,504,153,65,0.2982,150
2025-06-10,15,1,6,0,0,BLR,Medium,566,174,53,0.2335,150
2025-06-10,16,1,6,0,0,BLR,High,731,216,95,0.3055,150
2025-06-10,17,1,6,0,1,BLR,High,745,239,73,0.2303,150
2025-06-10,18,1,6,0,1,BLR,High,743,161,81,0.2765,150
2025-06-10,19,1,6,0,1,BLR,Medium,179,10,22,0.2366,150
2025-06-03,0,1,6,0,0,BLR,Medium,104,21,16,0.4324,151
2025-06-03,1,1,6,0,0,BLR,Medium,64,15,4,0.2105,151
2025-06-03,2,1,6,0,0,BLR,Low,40,7,3,0.3,151
2025-06-03,3,1,6,0,0,BLR,Medium,161,30,11,0.2683,151
2025-06-03,4,1,6,0,0,BLR,Medium,156,27,13,0.325,151
2025-06-03,5,1,6,0,0,BLR,Medium,246,79,24,0.233,151
2025-06-03,6,1,6,0,0,BLR,High,711,203,92,0.3119,151
2025-06-03,7,1,6,0,0,BLR,High,2276,599,271,0.3115,151
2025-06-03,8,1,6,0,1,BLR,High,5035,741,397,0.3486,151
2025-06-03,9,1,6,0,1,BLR,High,6268,711,357,0.3343,151
2025-06-03,10,1,6,0,1,BLR,High,4771,659,335,0.337,151
2025-06-03,11,1,6,0,1,BLR,High,2924,726,324,0.3086,151
2025-06-03,12,1,6,0,0,BLR,High,1977,551,253,0.3147,151
2025-06-03,13,1,6,0,0,BLR,High,1605,576,220,0.2764,151
2025-06-03,14,1,6,0,0,BLR,High,1431,537,194,0.2654,151
2025-06-03,15,1,6,0,0,BLR,High,1630,599,214,0.2632,151
