name,latitude,longitude,zone_type
Afzal Sagar,17.3836275,78.4616959,flood_vulnerable
AGHAPURA,17.3881601,78.4645379,flood_vulnerable
Akbar Nagar Lalitha bagh,17.3501631,78.4933081,flood_vulnerable
Ali Nagar,17.4358845,78.4401372,flood_vulnerable
Aljubail Colony,17.3275204,78.4730632,flood_vulnerable
Allam Thota Bavi,17.440119,78.462498,flood_vulnerable
Allwyn Colony,17.5066172,78.4112384,flood_vulnerable
Aman Nagar – B,17.3530883,78.4872706,flood_vulnerable
Aman Nagar –A,17.3573995,78.4872038,flood_vulnerable
Aman Nagar (Part) Talab Katta,17.3530883,78.4872706,flood_vulnerable
Ambedkar Colony,17.4058781,78.4688006,flood_vulnerable
Ambedkar Nagar,17.4346837,78.4412109,flood_vulnerable
Ambedkar Nagar,17.4346837,78.4412109,flood_vulnerable
Ambedkar Nagar Banjara hills,17.4127688,78.3998642,flood_vulnerable
"Ambedkar Nagar,
Secunderabad",17.5117898,78.574602,flood_vulnerable
Ambedkar Nagar,17.4346837,78.4412109,flood_vulnerable
Amjadullahbagh,17.3482883,78.4612994,flood_vulnerable
Ammuguda Slum New Bhoiguda,17.4265864,78.4991912,flood_vulnerable
Anand Rao Nagar Colony ,17.5043618,78.5032514,flood_vulnerable
"Angadipet Village, Jeedimetla",17.51323,78.4805223,flood_vulnerable
Ankamma Basthi,17.385044,78.486671,flood_vulnerable
Annapurna Nagar,17.3823946,78.5156793,flood_vulnerable
Arundathi Colony,17.3414294,78.4933081,flood_vulnerable
Arundhathi Nagar,17.4132028,78.488336,flood_vulnerable
Ashok Nagar,17.4062834,78.489987,flood_vulnerable
Ashraf Nagar,17.3736605,78.4968594,flood_vulnerable
Avanthi Nagar Thota ,17.4596595,78.4236774,flood_vulnerable
"Bagh-E-
jaharan",17.4629924,78.5585573,flood_vulnerable
Banjara Colony,17.4127066,78.4361149,flood_vulnerable
Bathakammakunta Vaibhav Nagar,17.385044,78.486671,flood_vulnerable
"Bathikamma Kunta, Bagh Amberpet",17.3931472,78.5127751,flood_vulnerable
BEGUM BAZAR (GOWLIWADA),17.3765479,78.4806858,flood_vulnerable
"Bhagathsingh Nagar, Chintal",17.4964217,78.4469702,flood_vulnerable
Bharath Nagar at maulali,17.4639345,78.4282972,flood_vulnerable
Bhavani Nagar,17.4699254,78.4311401,flood_vulnerable
"Bholashankar nagar, Jeedimetla",17.5168199,78.4609854,flood_vulnerable
Bhoodevi Nagar,17.4912528,78.5032514,flood_vulnerable
Bilal Nagar,17.3347965,78.4457977,flood_vulnerable
Bilal nagar,17.3347965,78.4457977,flood_vulnerable
BJR Nagar - Film Nagar,17.40941,78.418275,flood_vulnerable
Brahaman Vadi,17.4376609,78.4645379,flood_vulnerable
"Brahmanwadi(old custom
Basti)",17.3631609,78.4908177,flood_vulnerable
Chandra Babu Naidu Nagar,17.385044,78.486671,flood_vulnerable
