zone_name,latitude,longitude,metro_count_1km,mmts_count_1km,total_rail_count_1km,nearest_metro_distance_km,bus_stop_count_500m,bus_stop_count_1km,traffic_chokepoint_nearby,nearest_traffic_distance_km,commercial_density_500m,commercial_density_1km,is_flood_prone,nearest_police_station_km
HITEC City,17.4435,78.3772,0,0,0,5.98,18,43,True,0.5,28,64,False,3.67
Gachibowli,17.44,78.3487,0,0,0,7.41,5,22,True,1.0,0,2,False,6.49
Madhapur,17.4485,78.3908,0,0,0,4.67,2,25,False,1.32,4,19,False,2.78
Jubilee Hills,17.4239,78.4036,0,0,0,4.54,0,22,True,0.91,1,1,False,0.94
Secunderabad,17.4399,78.4983,2,1,3,0.75,32,114,True,0.76,1,4,True,0.64
Ameerpet,17.4374,78.4482,3,0,3,0.55,27,91,True,0.57,16,40,False,0.45
Kukatpally,17.4849,78.4138,1,0,1,0.28,13,31,False,1.51,1,2,False,6.03
Banjara Hills,17.4126,78.4502,0,0,0,2.23,13,50,True,0.78,1,4,True,1.55
Old City,17.3616,78.4747,0,0,0,5.56,18,73,True,0.1,0,2,False,0.06
Kondapur,17.4651,78.3646,0,0,0,4.24,16,35,True,0.3,1,18,False,6.08
Begumpet,17.438,78.4676,1,1,2,0.81,0,29,True,0.98,0,0,True,1.01
Miyapur,17.4967,78.3583,0,0,0,1.72,18,43,True,0.35,0,0,True,5.13
Uppal,17.4065,78.5591,3,0,3,0.52,12,47,False,2.39,0,0,True,3.89
LB Nagar,17.352,78.553,0,0,0,5.12,13,64,False,3.55,0,0,False,3.71
Financial District,17.4281,78.3389,0,0,0,9.03,10,25,False,2.67,5,12,False,7.45
