name,latitude,longitude,zone_type
Ameerpet,17.43254,78.447222,metro_station
Balanagar,17.478017,78.422092,metro_station
Begumpet,17.437901,78.457131,metro_station
Bharatnagar,17.467865,78.430523,metro_station
Erragadda Road,17.462783,78.433956,metro_station
ESI Hospital,17.447596,78.439302,metro_station
Habsiguda,17.420378,78.540548,metro_station
J.N.T.U College,17.499621,78.388758,metro_station
K.P.H.B. Colony,17.493973,78.40173,metro_station
Kukatpally,17.486155,78.411546,metro_station
Mettuguda,17.435981,78.519539,metro_station
Miyapur,17.502306,78.373452,metro_station
Moosapet,17.479335,78.426323,metro_station
Nagole,17.397753,78.558502,metro_station
NGRI,17.415034,78.546245,metro_station
Parade Grounds,17.446864,78.498936,metro_station
Paradise_Khairtabad,17.411458,78.471217,metro_station
Paradise_Habsiguda,17.405161,78.545562,metro_station
Prakash Nagar,17.445084,78.465826,metro_station
Rasoolpura,17.444099,78.476448,metro_station
S.R Nagar,17.442463,78.441738,metro_station
Secunderabad,17.439799,78.505338,metro_station
Stadium ,17.407709,78.554204,metro_station
Tarnaka,17.43161,78.528512,metro_station
Uppal,17.40202,78.56056,metro_station
