name,latitude,longitude,zone_type
Arts College,17.41808,78.519292,mmts_stop
Begumpet,17.438913,78.458278,mmts_stop
Bharatnagar,17.462441,78.429409,mmts_stop
Borabanda,17.45945,78.407864,mmts_stop
Budvel,17.311252,78.423094,mmts_stop
Chandanagar,17.487582,78.33268,mmts_stop
Dabirpura,17.366787,78.490456,mmts_stop
Falaknuma,17.328298,78.474347,mmts_stop
Fatehnagar,17.456086,78.450266,mmts_stop
Hafeezpet,17.483031,78.363021,mmts_stop
Hitech City,17.469992,78.385318,mmts_stop
Huppuguda,17.341555,78.48249,mmts_stop
Hyderabad,17.392741,78.467579,mmts_stop
Jamai Osmania,17.411729,78.518317,mmts_stop
James Street,17.433109,78.487273,mmts_stop
Kacheguda,17.389513,78.499261,mmts_stop
Khairatabad,17.412629,78.46053,mmts_stop
Lakdikapul,17.404235,78.463355,mmts_stop
Lallaguda Gate,17.441018,78.524504,mmts_stop
Lingampally,17.483298,78.317798,mmts_stop
Malakpet,17.37648,78.494782,mmts_stop
Malkajgiri,17.455953,78.530237,mmts_stop
NatureCureHospital,17.445949,78.452214,mmts_stop
Necklace Road,17.424711,78.462816,mmts_stop
NPA Shivrampalli ,17.323699,78.437111,mmts_stop
SanjeevaiahPark,17.435708,78.476721,mmts_stop
Secunderabad,17.434006,78.501655,mmts_stop
Sitafalmandi,17.429461,78.519625,mmts_stop
Umdanagar,17.263602,78.393105,mmts_stop
Vidyanagar,17.402485,78.511161,mmts_stop
Yakutpura,17.36032,78.492113,mmts_stop
