name,latitude,longitude,zone_type
Abids Police Station,17.3888734,78.4762557,police_station
Narayanguda Police Station,17.3978922,78.4898654,police_station
Begum Bazaar Police Station,17.3827239,78.4706236,police_station
Gandhinagar Police Station,17.4308,78.4970663,police_station
Musheerabad Police Station,17.4193877,78.5002975,police_station
Chikkadpally Police Station,17.4088587,78.4974472,police_station
Nampally Police Station,17.3988373,78.4578441,police_station
Ramgopalpet Police Station,17.4307521,78.5135267,police_station
Saifabad Police Station,17.4026682,78.4628137,police_station
Sulthan  Bazaar Police Station,17.38861,78.4873614,police_station
Chaderghat Police Station,17.3779467,78.4918099,police_station
Afzalgunj Police Station,17.3723411,78.4753055,police_station
Kachiguda Police Station,17.3882289,78.5003051,police_station
Nallakunta Police Station,17.407593,78.5133129,police_station
Osmania University Police Station,17.4211771,78.5258394,police_station
Malakpet Police Station,17.3705144,78.51197,police_station
Saidabad Police Station,17.3613802,78.5194425,police_station
Amberpet Police Station,17.3900766,78.5168833,police_station
Banjara Hills Police Station,17.4219844,78.4364943,police_station
Jubilee Hills Police Station,17.4305904,78.4090697,police_station
Punjagutta Police Station,17.4264071,78.4522468,police_station
SR Nagar Police Station,17.4414012,78.4477261,police_station
Asifnagar Police Station,17.3895533,78.4523342,police_station
Humayunnagar Police Station,17.395605,78.4421471,police_station
Lunger House Police Station,17.3782311,78.4214118,police_station
Golconda Police Station,17.3902904,78.4057593,police_station
Tappachabutra Police Station,17.3749177,78.4484399,police_station
Shahinayathgunj Police Station,17.3775095,78.470883,police_station
Habeebnagar Police Station,17.389869,78.4628491,police_station
Kulsumpura Police Station,17.3691061,78.4478321,police_station
Mangalhat Police Station,17.3784113,78.4607856,police_station
Gopalapuram Police Station,17.4354158,78.50206,police_station
Tukaramgate Police Station,17.4455187,78.5180141,police_station
Lalaguda Police Station,17.4345915,78.527955,police_station
Chilakalguda Police Station,17.4306618,78.5135193,police_station
Mahankali Police Station,17.4360635,78.4909486,police_station
Market Police Station,17.4336576,78.495794,police_station
Marredupally Police Station,17.4514086,78.5054772,police_station
Karkhana Police Station,17.4617787,78.5004818,police_station
Begumpet Police Station,17.4440001,78.4747903,police_station
Bowenpally Police Station,17.4651586,78.4728921,police_station
Bollaram Police Station,17.5428107,78.3567554,police_station
Trimulgherry Police Station,17.4802159,78.5114629,police_station
Charminar Police Station,17.3620011,78.4742842,police_station
Bahadurpura Police Station,17.3586078,78.4553468,police_station
Kamatipura Police Station,17.355949,78.4601655,police_station
Hussaini Alam Police Station,17.35808,78.4641003,police_station
Kalapattar Police Station,17.3454565,78.4541684,police_station
Mirchowk Police Station,17.3636995,78.4805506,police_station
Dabeerpura Police Station,17.3666436,78.4892628,police_station
Moghalpura Police Station,17.3506107,78.478847,police_station
Rein Bazaar Police Station,17.3618458,78.4884394,police_station
Falaknuma Police Station,17.3348331,78.4683073,police_station
Chandrayangutta Police Station,17.3249877,78.4796777,police_station
Shalibanda Police Station,17.3445615,78.4695917,police_station
Chatrinaka Police Station,17.3435357,78.4779502,police_station
Kanchanbagah Police Station,17.333679,78.5083337,police_station
Bhavani Nagar Police Station,17.3548944,78.4873184,police_station
Madannapet Police Station,17.3581497,78.5000144,police_station
Santoshnagar Police Station,17.3468542,78.5047424,police_station
