name,latitude,longitude,zone_type
Abids Circle,17.388766,78.476512,traffic_chokepoint
Hyderguda road,17.399353,78.479922,traffic_chokepoint
Himayath Nagar Circle,17.4006,78.488007,traffic_chokepoint
Basheer Bagh X road,17.401201,78.47581,traffic_chokepoint
Chirag Ali Lane,17.390607,78.474427,traffic_chokepoint
Khaja Mansion to Masab Tank,17.405594,78.450984,traffic_chokepoint
Humayun Nagar to Rethi Bowli,17.398667,78.445201,traffic_chokepoint
Asif Nagar to Mehdipatnam,17.389073,78.455113,traffic_chokepoint
Tipu Khan bridge to Langer House Junction,17.37298,78.412982,traffic_chokepoint
Green Mosque,17.427386,78.442298,traffic_chokepoint
"Road 12, kamaan",17.409427,78.437932,traffic_chokepoint
Krishna Nagar Road,17.433245,78.426658,traffic_chokepoint
Zaheera Nagar,17.4193,78.442342,traffic_chokepoint
Jubilee Hills Checkpost,17.4265,78.415448,traffic_chokepoint
BVBP Junction,17.418297,78.409896,traffic_chokepoint
"Karbala Maidan to CTO, MG Road",17.43267,78.488359,traffic_chokepoint
Begumpet Fly over to Plaza on S.P Road,17.444113,78.460947,traffic_chokepoint
Parklane to MG Statue,17.438669,78.488995,traffic_chokepoint
Madina X road,17.368788,78.476229,traffic_chokepoint
Bahadurpura X road,17.354685,78.461513,traffic_chokepoint
RTC X roads,17.402838,78.493517,traffic_chokepoint
Children park T jucntion,17.399113,78.517646,traffic_chokepoint
Golconda X roads ,17.413147,78.50063,traffic_chokepoint
VST x road,17.404945,78.501858,traffic_chokepoint
DMRL X Roads,17.343621,78.507133,traffic_chokepoint
Old Chandrayangutta signal point,17.326763,78.476267,traffic_chokepoint
Charminar Monument,17.36073,78.474511,traffic_chokepoint
Himmatpura traffic signal point ,17.354832,78.470004,traffic_chokepoint
Mettuguda to Alugaddabavi T Junction ,17.436545,78.518672,traffic_chokepoint
Chilakalaguda X roads ,17.432972,78.506224,traffic_chokepoint
Delight junction to Keyes High school ,17.440783,78.505432,traffic_chokepoint
YMCA X roads,17.395315,78.490147,traffic_chokepoint
Alaska to Malakunta,17.381987,78.4726,traffic_chokepoint
Osmangunj to S.A.Bazar,17.368918,78.476438,traffic_chokepoint
M.J.Market to Malakunta,17.380199,78.475174,traffic_chokepoint
M.J.Bridge to Begum bazaar,17.375001,78.473443,traffic_chokepoint
Chaderghat,17.377065,78.494775,traffic_chokepoint
Fever Hospital Jn. To Tilak Nagar ,17.395998,78.503219,traffic_chokepoint
Habsiguda to Tarnaka,17.419541,78.541187,traffic_chokepoint
SBI nalgonda X Roads to Chader ghat rotary,17.380877,78.491603,traffic_chokepoint
"Nalgonda X Roads to fire station, Malakpet",17.374975,78.498396,traffic_chokepoint
Gaddiannaram Junction to Saroor nagar katta,17.363452,78.521745,traffic_chokepoint
R.P Road from Ghsmandi to SBH X roads,17.419244,78.483109,traffic_chokepoint
Miralam Mandi Road,17.365473,78.478402,traffic_chokepoint
Chapel Road to A1 Nampally junction,17.390302,78.471583,traffic_chokepoint
Taj Island to Bazarghat X road ,17.394236,78.462517,traffic_chokepoint
Ek-Minar junction to Nampally Railway station ,17.391271,78.470149,traffic_chokepoint
Shalimar junction,17.394404,78.486499,traffic_chokepoint
S.R. Nagar junction,17.441918,78.445661,traffic_chokepoint
Greenlands,17.434594,78.455282,traffic_chokepoint
KCP junction,17.417509,78.457066,traffic_chokepoint
Road No. 1/12,17.422176,78.449511,traffic_chokepoint
Sarathi Studio,17.437123,78.442456,traffic_chokepoint
NIMS,17.422807,78.454531,traffic_chokepoint
Khairathabad fly over ,17.415847,78.462246,traffic_chokepoint
Tank bund up to Liberty ,17.409628,78.477465,traffic_chokepoint
Troop Bazar to DM & HS,17.388356,78.48386,traffic_chokepoint
"Victory Play Ground via RMY “X” Rds., to Jambagh",17.37627,78.496137,traffic_chokepoint
Afzalgunj to S.A. Bazar ,17.350923,78.465384,traffic_chokepoint
Suchitra X Roads,17.499172,78.476744,traffic_chokepoint
Kompally T Junction,17.544267,78.491605,traffic_chokepoint
medchal Bus Depot,17.63376,78.487057,traffic_chokepoint
Barathnagar Near Temple,17.468269,78.428314,traffic_chokepoint
Balanagar T Junction to Fathenegar Flyover (narrow roads),17.463304,78.449295,traffic_chokepoint
KPHB Road No.4,17.492695,78.397761,traffic_chokepoint
KPHB Road No.1,17.487506,78.399784,traffic_chokepoint
Kalamandir Bus stop to Alluri Trade Centre Service Road,17.493906,78.401625,traffic_chokepoint
Rythbazar Area,17.492794,78.393451,traffic_chokepoint
Kukatpally Village Bus Stop Area,17.495057,78.399469,traffic_chokepoint
Raghavendra Colony T Junction / Bixapathy Nagar near RTA Office,17.471507,78.364937,traffic_chokepoint
Parrika Nagar T Junction at Venky's Sub-Lage [between Cyber Towers - Cyber Gateway],17.447825,78.378392,traffic_chokepoint
At In Orbit Mall [on Saturday & Sundays evening hours],17.433207,78.385866,traffic_chokepoint
Kothaguda [on Sundays],17.458992,78.366056,traffic_chokepoint
Khajaguda Junction,17.422729,78.381716,traffic_chokepoint
At Miyapur X Roads towards Bollaram Road,17.49669,78.361575,traffic_chokepoint
HDFC Bank Junction,17.494097,78.351076,traffic_chokepoint
Gangaram Hanuman Temple.,17.494973,78.328923,traffic_chokepoint
"Old Municipal Office, Lingampally",17.483655,78.320643,traffic_chokepoint
Chandanagar,17.494038,78.351138,traffic_chokepoint
DLF Junction,17.447741,78.353415,traffic_chokepoint
Aparna Junction at Kondapur,17.464927,78.367381,traffic_chokepoint
Raghavendra Colony T Junction / Bixapathy Nagar near RTA Office,17.470533,78.365207,traffic_chokepoint
Attapur,17.370398,78.429185,traffic_chokepoint
Hyderguda X Road,17.363884,78.428074,traffic_chokepoint
Aramghar X Road,17.32168,78.431974,traffic_chokepoint
Shamshabad Market ‘X’ Road,17.265339,78.392247,traffic_chokepoint
Shamshabad Bus Stand,17.262347,78.388019,traffic_chokepoint
Errakunta,17.432329,78.546724,traffic_chokepoint
Shaheen Nagar,17.295418,78.477696,traffic_chokepoint
