ward_name,circle,zone,area_sqkm,zone_type
127-RANGAREDDY NAGAR,25-QUTUBULLAPUR,NORTH  ZONE,2599171.20578681,ward_boundary
119-OLD BOWENPALLY,24-KUKATPALLY,WEST  ZONE,3030525.32688414,ward_boundary
74-AHMED NAGAR,12-MEDHDIPATNAM,CENTRAL  ZONE,1728361.82062883,ward_boundary
92-VENKATESHWARA COLONY,18-JUBILEE HILLS,CENTRAL  ZONE,4902968.56666716,ward_boundary
89-GANDHINAGAR,15-MUSHEERABAD,CENTRAL  ZONE,1354858.24043019,ward_boundary
75-RED HILLS,12-MEDHDIPATNAM,CENTRAL  ZONE,1964614.71121507,ward_boundary
79-HIMAYATNAGAR,16-AMBERPET,CENTRAL  ZONE,2060120.25155077,ward_boundary
88-BHOLAKPUR,15-MUSHEERABAD,CENTRAL  ZONE,1000746.40478217,ward_boundary
86-MUSHEERABAD,15-MUSHEERABAD,CENTRAL  ZONE,840168.365630789,ward_boundary
145-SEETHAPHALMANDI,29-SECUNDERABAD,NORTH  ZONE,1080056.46203159,ward_boundary
146-BOUDHA NAGAR,29-SECUNDERABAD,NORTH  ZONE,826577.400553971,ward_boundary
85-ADIKMET,15-MUSHEERABAD,CENTRAL  ZONE,1185290.04577157,ward_boundary
87-RAMNAGAR,15-MUSHEERABAD,CENTRAL  ZONE,1734881.62148013,ward_boundary
90-KAVADIGUDA,15-MUSHEERABAD,CENTRAL  ZONE,2103910.483209,ward_boundary
93-BANJARA HILLS,18-JUBILEE HILLS,CENTRAL  ZONE,3480892.76519938,ward_boundary
91-KHAIRTABAD,17-KHAIRATABAD,CENTRAL  ZONE,8648595.04845667,ward_boundary
147-BANSILALPET,30-BEGUMPET,NORTH  ZONE,2095399.59603649,ward_boundary
144-METTUGUDA,29-SECUNDERABAD,NORTH  ZONE,3349306.56961999,ward_boundary
148-RAMGOPALPET,30-BEGUMPET,NORTH  ZONE,1680819.64107283,ward_boundary
150-MONDA  MARKET,30-BEGUMPET,NORTH  ZONE,2566599.85231643,ward_boundary
136-NEREDMET,28-MALKAJGIRI,NORTH  ZONE,7384988.64301425,ward_boundary
141-GOUTHAM NAGAR,28-MALKAJGIRI,NORTH  ZONE,2047754.65280042,ward_boundary
140-MALKAJGIRI,28-MALKAJGIRI,NORTH  ZONE,2239355.86558597,ward_boundary
139-EAST ANAND BAGH,28-MALKAJGIRI,NORTH  ZONE,4425636.89291339,ward_boundary
142-ADDAGUTTA,29-SECUNDERABAD,NORTH  ZONE,2023313.61268853,ward_boundary
137-VINAYAK NAGAR,28-MALKAJGIRI,NORTH  ZONE,2196567.78081397,ward_boundary
134-ALWAL,27-ALWAL,NORTH  ZONE,3318722.9755041,ward_boundary
132-JEEDIMETLA,25-QUTUBULLAPUR,NORTH  ZONE,8962231.40554887,ward_boundary
120-BALA NAGAR,24-KUKATPALLY,WEST  ZONE,7398458.53194671,ward_boundary
130-SUBHASH NAGAR,25-QUTUBULLAPUR,NORTH  ZONE,8031781.90740246,ward_boundary
131-QUTHBULLAPUR,25-QUTUBULLAPUR,NORTH  ZONE,3589846.33615185,ward_boundary
121-KUKATPALLY,24-KUKATPALLY,WEST  ZONE,3257624.27468825,ward_boundary
125-GAJULARAMARAM,26-GAJULARAMARAM,NORTH  ZONE,11011124.3376748,ward_boundary
124-ALLYWN COLONY,24-KUKATPALLY,WEST  ZONE,2731606.12967762,ward_boundary
114-K.P.H.B.COLONY,23-MOOSAPET,WEST  ZONE,6132422.76126856,ward_boundary
116-ALLAPUR,23-MOOSAPET,WEST  ZONE,3253476.17975474,ward_boundary
115-BALAJI NAGAR,23-MOOSAPET,WEST  ZONE,8756672.59808522,ward_boundary
117-MOOSAPET,23-MOOSAPET,WEST  ZONE,1939113.67722235,ward_boundary
103-BORABANDA,19-YOUSUFGUDA,CENTRAL  ZONE,911769.741616043,ward_boundary
105-GACHIBOWLI,20-SERILINGAMPALLY,WEST  ZONE,49739784.9150654,ward_boundary
110-CHANDANAGAR,21-CHANDA NAGAR,WEST  ZONE,6729819.48224552,ward_boundary
111-BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,WEST  ZONE,1991645.7160305,ward_boundary
106-SERILINGAMPALLY,20-SERILINGAMPALLY,WEST  ZONE,11376704.590122,ward_boundary
104-KONDAPUR,20-SERILINGAMPALLY,WEST  ZONE,14648928.9829252,ward_boundary
109-HAFEEZPET,21-CHANDA NAGAR,WEST  ZONE,3963906.88682888,ward_boundary
97-SOMAJIGUDA,17-KHAIRATABAD,CENTRAL  ZONE,2380852.33500414,ward_boundary
98-AMEERPET,17-KHAIRATABAD,CENTRAL  ZONE,2414961.8094823,ward_boundary
101-ERRAGADDA,19-YOUSUFGUDA,CENTRAL  ZONE,1558899.24979181,ward_boundary
100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL  ZONE,2527218.65970457,ward_boundary
118-FATEH NAGAR,23-MOOSAPET,WEST  ZONE,3368721.83312791,ward_boundary
99-VENGALRAO NAGAR,19-YOUSUFGUDA,CENTRAL  ZONE,2218925.50605447,ward_boundary
102-RAHAMATH NAGAR,19-YOUSUFGUDA,CENTRAL  ZONE,1029968.93694225,ward_boundary
6-NACHARAM,1-KAPRA,EAST ZONE,5012790.26264478,ward_boundary
143-TARNAKA,29-SECUNDERABAD,NORTH  ZONE,2417361.76334641,ward_boundary
84-BAGH AMBERPET,16-AMBERPET,CENTRAL  ZONE,1555958.30597719,ward_boundary
81-NALLAKUNTA,16-AMBERPET,CENTRAL  ZONE,1379014.29685457,ward_boundary
80-KACHIGUDA(Barkathpura),16-AMBERPET,CENTRAL  ZONE,1472299.38843431,ward_boundary
28-AZAMPURA,6-MALAKPET,SOUTH  ZONE,1420445.15301881,ward_boundary
8-HABSIGUDA,2-UPPAL,EAST ZONE,5249849.96782136,ward_boundary
82-GOLNAKA,16-AMBERPET,CENTRAL  ZONE,1468689.96995596,ward_boundary
83-AMBERPET,16-AMBERPET,CENTRAL  ZONE,1681330.89974007,ward_boundary
51-GOSHA MAHAL,14-GOSHAMAHAL,CENTRAL  ZONE,1081653.0497112,ward_boundary
68-TOLICHOWKI,13-KARWAN,CENTRAL  ZONE,2196180.09956558,ward_boundary
67-GOLCONDA,13-KARWAN,CENTRAL  ZONE,2607852.03230801,ward_boundary
77-JAMBAGH(Nampally),14-GOSHAMAHAL,CENTRAL  ZONE,2083725.82207509,ward_boundary
63-MANGALHAT,14-GOSHAMAHAL,CENTRAL  ZONE,1157797.27456126,ward_boundary
71-GUDIMALKAPUR,12-MEDHDIPATNAM,CENTRAL  ZONE,1700772.58219669,ward_boundary
64-DATTATHREYA NAGAR,14-GOSHAMAHAL,CENTRAL  ZONE,685037.180962379,ward_boundary
70-MEHDIPATNAM,12-MEDHDIPATNAM,CENTRAL  ZONE,1209849.66808613,ward_boundary
76-MALLEPALLY,12-MEDHDIPATNAM,CENTRAL  ZONE,942624.034441215,ward_boundary
62-ZIAGUDA,13-KARWAN,CENTRAL  ZONE,1697539.78723106,ward_boundary
56-KISHAN BAGH,10-FALAKNUMA,SOUTH  ZONE,1408273.188745,ward_boundary
52-PURANAPOOL,9-CHARMINAR,SOUTH  ZONE,782003.677611913,ward_boundary
69-NANALNAGAR,13-KARWAN,CENTRAL  ZONE,3023328.59553641,ward_boundary
72-ASIF NAGAR,12-MEDHDIPATNAM,CENTRAL  ZONE,1225370.16390107,ward_boundary
73-VIJAYANAGAR COLONY,12-MEDHDIPATNAM,CENTRAL  ZONE,1712568.95077444,ward_boundary
59-MAILARDEVPALLY,11-RAJENDRA NAGAR,SOUTH  ZONE,13230072.4760722,ward_boundary
46-FALAKNUMA,10-FALAKNUMA,SOUTH  ZONE,1860936.76900798,ward_boundary
57-SULEMAN NAGAR,11-RAJENDRA NAGAR,SOUTH  ZONE,3482861.53273181,ward_boundary
61-ATTAPUR,11-RAJENDRA NAGAR,SOUTH  ZONE,4379979.72179928,ward_boundary
60-RAJENDRANAGAR,11-RAJENDRA NAGAR,SOUTH  ZONE,22137424.7014145,ward_boundary
49-GANSIBAZAR,9-CHARMINAR,SOUTH  ZONE,1835387.68332089,ward_boundary
33-MOGHALPURA,9-CHARMINAR,SOUTH  ZONE,845739.600069305,ward_boundary
47-NAWABSAHEBKUNTA,10-FALAKNUMA,SOUTH  ZONE,1013862.77353389,ward_boundary
58-SHASTRIPURAM,11-RAJENDRA NAGAR,SOUTH  ZONE,4896039.41012555,ward_boundary
54-JAHANUMA,10-FALAKNUMA,SOUTH  ZONE,1523542.34577434,ward_boundary
48-SHALIBANDA,9-CHARMINAR,SOUTH  ZONE,1551668.32156689,ward_boundary
53-DOODBOWLI,10-FALAKNUMA,SOUTH  ZONE,1191730.61577681,ward_boundary
55-RAMNASTPURA,10-FALAKNUMA,SOUTH  ZONE,4306742.19880533,ward_boundary
43-CHANDRAYANGUTTA,8-CHANDRAYANGUTTA,SOUTH  ZONE,1964907.07228564,ward_boundary
44-UPPUGUDA,8-CHANDRAYANGUTTA,SOUTH  ZONE,1425145.06927076,ward_boundary
40-RIYASATNAGAR,8-CHANDRAYANGUTTA,SOUTH  ZONE,1134749.5745003,ward_boundary
36-LALITHABAGH,8-CHANDRAYANGUTTA,SOUTH  ZONE,986004.167961344,ward_boundary
34-TALABCHANCHALAM,7-SANTOSH NAGAR,SOUTH  ZONE,664829.534362568,ward_boundary
35-GOWLIPURA,7-SANTOSH NAGAR,SOUTH  ZONE,1052077.73352787,ward_boundary
22-CHAITHANYAPURI,5-SAROOR NAGAR,EAST ZONE,2207501.80514017,ward_boundary
30-DABEERPURA,6-MALAKPET,SOUTH  ZONE,1395769.71318712,ward_boundary
32-PATHER GATTI,9-CHARMINAR,SOUTH  ZONE,1747099.76987619,ward_boundary
37-KURMAGUDA,7-SANTOSH NAGAR,SOUTH  ZONE,1027289.30345149,ward_boundary
