ward_name,circle,zone,area_sqkm,chokepoint_count,is_flood_prone,nearest_police_distance_km,commercial_density,cancellation_rate,avg_fare,driver_acceptance_rate,has_constituency_data
127-RANGAREDDY NAGAR,25-QUTUBULLAPUR,NORTH  ZONE,2599171.20578681,0,0,15.670497869758885,0,,,,0
119-OLD BOWENPALLY,24-KUKATPALLY,WEST  ZONE,3030525.32688414,0,0,13.7944355673129,0,,,,0
74-AHMED NAGAR,12-MEDHDIPATNAM,CENTRAL  ZONE,1728361.82062883,1,0,11.7633349585885,0,,,,0
92-VENKATESHWARA COLONY,18-JUBILEE HILLS,CENTRAL  ZONE,4902968.56666716,2,0,10.027609660837973,0,,,,0
89-GANDHINAGAR,15-MUSHEERABAD,CENTRAL  ZONE,1354858.24043019,0,0,8.314260501430434,0,0.5526,177.3856,0.2958,1
75-RED HILLS,12-MEDHDIPATNAM,CENTRAL  ZONE,1964614.71121507,0,0,6.715763652561691,0,,,,0
79-HIMAYATNAGAR,16-AMBERPET,CENTRAL  ZONE,2060120.25155077,0,0,5.9300012464368645,0,0.5667,187.3994,0.1974,1
88-BHOLAKPUR,15-MUSHEERABAD,CENTRAL  ZONE,1000746.40478217,0,0,6.270345117291273,0,0.5763,192.2535,0.1974,1
86-MUSHEERABAD,15-MUSHEERABAD,CENTRAL  ZONE,840168.365630789,0,0,7.083620263100876,0,0.588,233.5556,0.169,1
145-SEETHAPHALMANDI,29-SECUNDERABAD,NORTH  ZONE,1080056.46203159,0,0,8.146026396108509,0,,,,0
146-BOUDHA NAGAR,29-SECUNDERABAD,NORTH  ZONE,826577.400553971,0,0,9.829853985714776,0,,,,0
85-ADIKMET,15-MUSHEERABAD,CENTRAL  ZONE,1185290.04577157,0,0,11.87360625611453,0,,,,0
87-RAMNAGAR,15-MUSHEERABAD,CENTRAL  ZONE,1734881.62148013,0,0,14.121870758979505,0,0.5989,241.0127,0.2371,1
90-KAVADIGUDA,15-MUSHEERABAD,CENTRAL  ZONE,2103910.483209,0,0,13.497420351514425,0,,,,0
93-BANJARA HILLS,18-JUBILEE HILLS,CENTRAL  ZONE,3480892.76519938,0,0,11.83247226326121,0,,,,0
91-KHAIRTABAD,17-KHAIRATABAD,CENTRAL  ZONE,8648595.04845667,0,0,10.030456072059907,0,,,,0
147-BANSILALPET,30-BEGUMPET,NORTH  ZONE,2095399.59603649,0,0,7.924146389721223,0,,,,0
144-METTUGUDA,29-SECUNDERABAD,NORTH  ZONE,3349306.56961999,0,0,6.249763063857478,0,,,,0
148-RAMGOPALPET,30-BEGUMPET,NORTH  ZONE,1680819.64107283,0,0,4.471904849730673,0,,,,0
150-MONDA  MARKET,30-BEGUMPET,NORTH  ZONE,2566599.85231643,1,0,3.172178489629069,0,,,,0
136-NEREDMET,28-MALKAJGIRI,NORTH  ZONE,7384988.64301425,0,0,3.770207596409279,0,,,,0
141-GOUTHAM NAGAR,28-MALKAJGIRI,NORTH  ZONE,2047754.65280042,0,0,4.438695562488131,0,,,,0
140-MALKAJGIRI,28-MALKAJGIRI,NORTH  ZONE,2239355.86558597,0,1,5.989982440372875,0,,,,0
139-EAST ANAND BAGH,28-MALKAJGIRI,NORTH  ZONE,4425636.89291339,0,0,8.13289984435606,0,,,,0
142-ADDAGUTTA,29-SECUNDERABAD,NORTH  ZONE,2023313.61268853,0,0,10.511637765503616,0,,,,0
137-VINAYAK NAGAR,28-MALKAJGIRI,NORTH  ZONE,2196567.78081397,0,0,12.997357223391656,0,,,,0
134-ALWAL,27-ALWAL,NORTH  ZONE,3318722.9755041,0,0,11.495752361304652,0,,,,0
132-JEEDIMETLA,25-QUTUBULLAPUR,NORTH  ZONE,8962231.40554887,0,0,9.667096930626238,0,,,,0
120-BALA NAGAR,24-KUKATPALLY,WEST  ZONE,7398458.53194671,0,0,7.999973429798319,0,,,,0
130-SUBHASH NAGAR,25-QUTUBULLAPUR,NORTH  ZONE,8031781.90740246,0,1,6.362909859063852,0,,,,0
131-QUTHBULLAPUR,25-QUTUBULLAPUR,NORTH  ZONE,3589846.33615185,1,0,4.093567313320019,0,,,,0
121-KUKATPALLY,24-KUKATPALLY,WEST  ZONE,3257624.27468825,1,1,2.4575362209570857,0,,,,0
125-GAJULARAMARAM,26-GAJULARAMARAM,NORTH  ZONE,11011124.3376748,1,1,0.6449089541022924,0,,,,0
124-ALLYWN COLONY,24-KUKATPALLY,WEST  ZONE,2731606.12967762,0,1,1.6094912811284785,0,,,,0
114-K.P.H.B.COLONY,23-MOOSAPET,WEST  ZONE,6132422.76126856,0,1,2.1637351558345577,2,,,,0
116-ALLAPUR,23-MOOSAPET,WEST  ZONE,3253476.17975474,0,1,4.56699249357935,0,,,,0
115-BALAJI NAGAR,23-MOOSAPET,WEST  ZONE,8756672.59808522,0,1,7.149648505084564,1,,,,0
117-MOOSAPET,23-MOOSAPET,WEST  ZONE,1939113.67722235,0,0,9.569515529829111,0,,,,0
103-BORABANDA,19-YOUSUFGUDA,CENTRAL  ZONE,911769.741616043,0,1,11.98908448141229,0,0.5589,148.507,0.4487,1
105-GACHIBOWLI,20-SERILINGAMPALLY,WEST  ZONE,49739784.9150654,0,0,9.878242190423368,0,0.6022,153.7654,0.2265,1
110-CHANDANAGAR,21-CHANDA NAGAR,WEST  ZONE,6729819.48224552,0,0,7.673681326512968,0,,,,0
111-BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,WEST  ZONE,1991645.7160305,0,0,5.853991580248889,0,,,,0
106-SERILINGAMPALLY,20-SERILINGAMPALLY,WEST  ZONE,11376704.590122,0,0,4.1875159500451575,0,0.5531,168.8701,0.2475,1
104-KONDAPUR,20-SERILINGAMPALLY,WEST  ZONE,14648928.9829252,1,0,3.1480846125351114,0,0.6237,184.6439,0.2809,1
109-HAFEEZPET,21-CHANDA NAGAR,WEST  ZONE,3963906.88682888,2,1,0.5156561866138986,0,,,,0
97-SOMAJIGUDA,17-KHAIRATABAD,CENTRAL  ZONE,2380852.33500414,4,1,0.5187894312634285,0,,,,0
98-AMEERPET,17-KHAIRATABAD,CENTRAL  ZONE,2414961.8094823,1,1,0.5515669731985834,0,,,,0
101-ERRAGADDA,19-YOUSUFGUDA,CENTRAL  ZONE,1558899.24979181,2,1,1.700522807923558,0,,,,0
100-SANATH NAGAR,17-KHAIRATABAD,CENTRAL  ZONE,2527218.65970457,0,1,3.578571888472495,0,,,,0
118-FATEH NAGAR,23-MOOSAPET,WEST  ZONE,3368721.83312791,0,1,6.066375682354914,3,,,,0
99-VENGALRAO NAGAR,19-YOUSUFGUDA,CENTRAL  ZONE,2218925.50605447,0,0,8.653091290942656,0,,,,0
102-RAHAMATH NAGAR,19-YOUSUFGUDA,CENTRAL  ZONE,1029968.93694225,0,0,11.270820778707591,0,,,,0
6-NACHARAM,1-KAPRA,EAST ZONE,5012790.26264478,0,0,8.857900169122711,0,,,,0
143-TARNAKA,29-SECUNDERABAD,NORTH  ZONE,2417361.76334641,0,0,6.306614960417158,0,,,,0
84-BAGH AMBERPET,16-AMBERPET,CENTRAL  ZONE,1555958.30597719,0,1,3.893659447621277,0,,,,0
81-NALLAKUNTA,16-AMBERPET,CENTRAL  ZONE,1379014.29685457,1,1,2.150342002928524,0,,,,0
80-KACHIGUDA(Barkathpura),16-AMBERPET,CENTRAL  ZONE,1472299.38843431,3,1,0.7802532049455272,0,,,,0
28-AZAMPURA,6-MALAKPET,SOUTH  ZONE,1420445.15301881,0,1,0.3572172647515088,0,,,,0
8-HABSIGUDA,2-UPPAL,EAST ZONE,5249849.96782136,9,1,0.0953393690653022,2,,,,0
82-GOLNAKA,16-AMBERPET,CENTRAL  ZONE,1468689.96995596,4,1,1.062302261426442,0,0.5567,362.7711,0.5285,1
83-AMBERPET,16-AMBERPET,CENTRAL  ZONE,1681330.89974007,1,1,1.2873763808678196,1,0.5629,208.478,0.2257,1
51-GOSHA MAHAL,14-GOSHAMAHAL,CENTRAL  ZONE,1081653.0497112,0,1,3.4015268069004048,0,,,,0
68-TOLICHOWKI,13-KARWAN,CENTRAL  ZONE,2196180.09956558,0,0,5.963375640371686,0,,,,0
67-GOLCONDA,13-KARWAN,CENTRAL  ZONE,2607852.03230801,0,0,8.580893354975828,0,,,,0
77-JAMBAGH(Nampally),14-GOSHAMAHAL,CENTRAL  ZONE,2083725.82207509,0,0,11.215169601755406,0,,,,0
63-MANGALHAT,14-GOSHAMAHAL,CENTRAL  ZONE,1157797.27456126,0,0,8.64872836045219,0,,,,0
71-GUDIMALKAPUR,12-MEDHDIPATNAM,CENTRAL  ZONE,1700772.58219669,0,0,6.009724165081979,0,,,,0
64-DATTATHREYA NAGAR,14-GOSHAMAHAL,CENTRAL  ZONE,685037.180962379,0,1,3.392246838519484,0,,,,0
70-MEHDIPATNAM,12-MEDHDIPATNAM,CENTRAL  ZONE,1209849.66808613,0,1,0.9859842244057824,2,,,,0
76-MALLEPALLY,12-MEDHDIPATNAM,CENTRAL  ZONE,942624.034441215,1,1,1.8730599452099537,0,,,,0
62-ZIAGUDA,13-KARWAN,CENTRAL  ZONE,1697539.78723106,5,1,0.797831874924562,3,,,,0
56-KISHAN BAGH,10-FALAKNUMA,SOUTH  ZONE,1408273.188745,14,1,0.908974011992365,6,,,,0
52-PURANAPOOL,9-CHARMINAR,SOUTH  ZONE,782003.677611913,10,1,0.9657131877014472,3,,,,0
69-NANALNAGAR,13-KARWAN,CENTRAL  ZONE,3023328.59553641,1,1,1.110839292976607,1,,,,0
72-ASIF NAGAR,12-MEDHDIPATNAM,CENTRAL  ZONE,1225370.16390107,0,1,3.5475146223758376,1,,,,0
73-VIJAYANAGAR COLONY,12-MEDHDIPATNAM,CENTRAL  ZONE,1712568.95077444,0,1,5.831250798893872,1,,,,0
59-MAILARDEVPALLY,11-RAJENDRA NAGAR,SOUTH  ZONE,13230072.4760722,0,1,8.273757767007313,0,,,,0
46-FALAKNUMA,10-FALAKNUMA,SOUTH  ZONE,1860936.76900798,0,0,10.815661919326123,0,,,,0
57-SULEMAN NAGAR,11-RAJENDRA NAGAR,SOUTH  ZONE,3482861.53273181,0,0,9.019379282904309,4,0.5545,240.419,0.1822,1
61-ATTAPUR,11-RAJENDRA NAGAR,SOUTH  ZONE,4379979.72179928,0,0,6.38876469752653,17,,,,0
60-RAJENDRANAGAR,11-RAJENDRA NAGAR,SOUTH  ZONE,22137424.7014145,2,0,3.788491632017983,2,,,,0
49-GANSIBAZAR,9-CHARMINAR,SOUTH  ZONE,1835387.68332089,4,1,1.399380776363765,1,,,,0
33-MOGHALPURA,9-CHARMINAR,SOUTH  ZONE,845739.600069305,6,1,1.2677165465796691,3,,,,0
47-NAWABSAHEBKUNTA,10-FALAKNUMA,SOUTH  ZONE,1013862.77353389,10,1,0.5789027569353399,8,,,,0
58-SHASTRIPURAM,11-RAJENDRA NAGAR,SOUTH  ZONE,4896039.41012555,5,1,2.348261589385039,0,,,,0
54-JAHANUMA,10-FALAKNUMA,SOUTH  ZONE,1523542.34577434,5,1,0.2887515506976704,3,,,,0
48-SHALIBANDA,9-CHARMINAR,SOUTH  ZONE,1551668.32156689,2,1,0.1581336115088369,0,,,,0
