ac_num,bkng_cancel_rate,cancel_ride,city,date,day_of_week,demand_level,done_ride,granularity,hour,is_peak_hour,is_weekend,month,reg_driver,reg_rider,rider_to_driver_ratio,srch_rqst
,,,HYD,2023-11-15,2,Low,,daily,,,0,11,1.0,33.0,33.0,
,,,HYD,2023-11-16,3,Low,,daily,,,0,11,2.0,66.0,33.0,
,,,HYD,2023-11-17,4,Low,,daily,,,0,11,1.0,58.0,58.0,
,,,HYD,2023-11-18,5,Low,,daily,,,1,11,1.0,92.0,92.0,
,,,HYD,2023-11-19,6,Low,,daily,,,1,11,1.0,94.0,94.0,
,,,HYD,2023-11-20,0,Low,,daily,,,0,11,2.0,111.0,55.5,
,,,HYD,2023-11-21,1,Medium,,daily,,,0,11,27.0,200.0,7.407407407407407,
,,,HYD,2023-11-22,2,Medium,,daily,,,0,11,32.0,227.0,7.09375,
,,,HYD,2023-11-23,3,Low,,daily,,,0,11,26.0,127.0,4.884615384615385,
,,,HYD,2023-11-24,4,Low,,daily,,,0,11,26.0,86.0,3.3076923076923075,
,,,HYD,2023-11-25,5,Low,,daily,,,1,11,18.0,92.0,5.111111111111111,
,,,HYD,2023-11-26,6,Low,,daily,,,1,11,20.0,55.0,2.75,
,,,HYD,2023-11-27,0,Low,,daily,,,0,11,15.0,72.0,4.8,
,,,HYD,2023-11-28,1,Low,,daily,,,0,11,21.0,57.0,2.7142857142857144,
,,,HYD,2023-11-29,2,Low,,daily,,,0,11,17.0,91.0,5.352941176470588,
,,,HYD,2023-11-30,3,Low,,daily,,,0,11,8.0,71.0,8.875,
,,,HYD,2023-12-01,4,Low,,daily,,,0,12,16.0,69.0,4.3125,
,,,HYD,2023-12-02,5,Low,,daily,,,1,12,9.0,78.0,8.666666666666666,
,,,HYD,2023-12-03,6,Low,,daily,,,1,12,7.0,56.0,8.0,
,,,HYD,2023-12-04,0,Low,,daily,,,0,12,19.0,72.0,3.789473684210526,
,,,HYD,2023-12-05,1,Low,,daily,,,0,12,35.0,63.0,1.8,
,,,HYD,2023-12-06,2,Low,,daily,,,0,12,37.0,76.0,2.054054054054054,
,,,HYD,2023-12-07,3,Low,,daily,,,0,12,46.0,99.0,2.152173913043478,
,,,HYD,2023-12-08,4,Low,,daily,,,0,12,65.0,95.0,1.4615384615384617,
,,,HYD,2023-12-09,5,Low,,daily,,,1,12,92.0,126.0,1.3695652173913044,
,,,HYD,2023-12-10,6,Medium,,daily,,,1,12,22.0,225.0,10.227272727272728,
,,,HYD,2023-12-11,0,Low,,daily,,,0,12,121.0,176.0,1.4545454545454546,
,,,HYD,2023-12-12,1,Medium,,daily,,,0,12,148.0,178.0,1.2027027027027026,
,,,HYD,2023-12-13,2,Low,,daily,,,0,12,161.0,164.0,1.0186335403726707,
,,,HYD,2023-12-14,3,Medium,,daily,,,0,12,234.0,267.0,1.141025641025641,
,,,HYD,2023-12-15,4,Medium,,daily,,,0,12,280.0,337.0,1.2035714285714283,
,,,HYD,2023-12-16,5,Medium,,daily,,,1,12,242.0,390.0,1.6115702479338845,
,,,HYD,2023-12-17,6,Medium,,daily,,,1,12,104.0,334.0,3.2115384615384617,
,,,HYD,2023-12-18,0,Medium,,daily,,,0,12,297.0,267.0,0.898989898989899,
,,,HYD,2023-12-19,1,Medium,,daily,,,0,12,316.0,297.0,0.939873417721519,
,,,HYD,2023-12-20,2,Medium,,daily,,,0,12,317.0,290.0,0.9148264984227128,
,,,HYD,2023-12-21,3,Medium,,daily,,,0,12,234.0,325.0,1.3888888888888888,
,,,HYD,2023-12-22,4,Medium,,daily,,,0,12,221.0,326.0,1.4751131221719458,
,,,HYD,2023-12-23,5,Medium,,daily,,,1,12,183.0,402.0,2.19672131147541,
