name,latitude,longitude,zone_type
Ameerpet,17.43254,78.447222,metro_station
Balanagar,17.478017,78.422092,metro_station
Begumpet,17.437901,78.457131,metro_station
Bharatnagar,17.467865,78.430523,metro_station
Erragadda Road,17.462783,78.433956,metro_station
ESI Hospital,17.447596,78.439302,metro_station
Habsiguda,17.420378,78.540548,metro_station
J.N.T.U College,17.499621,78.388758,metro_station
K.P.H.B. Colony,17.493973,78.40173,metro_station
Kukatpally,17.486155,78.411546,metro_station
Mettuguda,17.435981,78.519539,metro_station
Miyapur,17.502306,78.373452,metro_station
Moosapet,17.479335,78.426323,metro_station
Nagole,17.397753,78.558502,metro_station
NGRI,17.415034,78.546245,metro_station
Parade Grounds,17.446864,78.498936,metro_station
Paradise_Khairtabad,17.411458,78.471217,metro_station
Paradise_Habsiguda,17.405161,78.545562,metro_station
Prakash Nagar,17.445084,78.465826,metro_station
Rasoolpura,17.444099,78.476448,metro_station
S.R Nagar,17.442463,78.441738,metro_station
Secunderabad,17.439799,78.505338,metro_station
Stadium ,17.407709,78.554204,metro_station
Tarnaka,17.43161,78.528512,metro_station
Uppal,17.40202,78.56056,metro_station
30c bus stop,17.4963,78.42857,bus_stop
35 bus stop ground,17.47532,78.55641,bus_stop
6 number,17.39164,78.51092,bus_stop
7 temples,17.51731,78.51293,bus_stop
8v x road bus stop,17.32553,78.57151,bus_stop
9th phase rtc bustop,17.48543,78.38575,bus_stop
a s rao nagar,17.47696,78.5638,bus_stop
a s rao nagar(pickup van),17.47375,78.56963,bus_stop
a-type bus stop,17.45299,78.59078,bus_stop
a. p. s. r. t. c kushaiguda depot,17.46854,78.5652,bus_stop
a.c. guards,17.40289,78.45958,bus_stop
a.c. guards,17.40313,78.45978,bus_stop
a.c.b. office,17.41279,78.42912,bus_stop
a.c.b. office,17.41271,78.42948,bus_stop
a.g. colony,17.44817,78.43033,bus_stop
a.g. colony,17.44834,78.43029,bus_stop
a.o.c.,17.47436,78.51717,bus_stop
a.o.c.,17.47431,78.51755,bus_stop
a.o.c. center a,17.45331,78.51185,bus_stop
a.o.c. chowk,17.45907,78.51533,bus_stop
a.o.c. chowk,17.45906,78.51564,bus_stop
a.o.c. gouha road,17.45792,78.51442,bus_stop
a.o.c. gouha road,17.45878,78.51502,bus_stop
a.p.s.r.t.c,17.45425,78.41586,bus_stop
a.p.s.r.t.c bus stop,17.32864,78.5753,bus_stop
a.p.s.r.t.c bus stop - pedda amberpet,17.32168,78.63864,bus_stop
a.p.s.r.t.c shamshabad bus station,17.26245,78.38777,bus_stop
a.s. rao nagar,17.47998,78.55678,bus_stop
aaramghar bus stop,17.32106,78.43151,bus_stop
abdullapur,17.32023,78.69244,bus_stop
abdullapur met bus stop,17.31014,78.68635,bus_stop
abdullapur sc colony bus stop,17.32231,78.69404,bus_stop
abdullapur village,17.32036,78.6924,bus_stop
abdullapurmet,17.31025,78.68635,bus_stop
abdullapurmet,17.30997,78.68668,bus_stop
abdullapurmet,17.30986,78.68637,bus_stop
abdullapurmet bus stop,17.3095,78.68693,bus_stop
abids,17.39194,78.47664,bus_stop
abids,17.39207,78.47695,bus_stop
abids (g.p.o.),17.38741,78.47636,bus_stop
abids (g.p.o.),17.38768,78.47613,bus_stop
abids grammar school,17.39286,78.47636,bus_stop
achchayyapalli bus stop,17.70865,78.57491,bus_stop
adarsh nagar bus stop,17.40164,78.56228,bus_stop
adarsh nagar bus stop,17.48299,78.32035,bus_stop
adarsh nagar bus stop,17.4108,78.56431,bus_stop
addagutta / east maredpally,17.44556,78.51472,bus_stop
addagutta / east maredpally,17.44563,78.51452,bus_stop
addagutta bus stop,17.49755,78.39494,bus_stop
adibatla x road,17.23796,78.5409,bus_stop
adibatla x road,17.23807,78.541,bus_stop
adikmet,17.40667,78.51273,bus_stop
adikmet,17.40652,78.51253,bus_stop
adithya nagar,17.2328,78.54263,bus_stop
adithya nagar,17.23283,78.54247,bus_stop
afzal gunj,17.37431,78.46891,bus_stop
afzalgunj,17.36798,78.46879,bus_stop
afzalgunj,17.3736,78.47585,bus_stop
afzalgunj,17.3739,78.47719,bus_stop
afzalgunj,17.37622,78.47533,bus_stop
afzalgunj / afzalgunj central library,17.37363,78.4777,bus_stop
afzalgunj / afzalgunj central library,17.37379,78.47808,bus_stop
afzalgunj terminal,17.37301,78.47659,bus_stop
ag campus,17.31456,78.42471,bus_stop
ag campus,17.3138,78.42477,bus_stop
ag colony bus stop,17.44955,78.43053,bus_stop
ag office / birla mandir,17.40595,78.46717,bus_stop
ag office / birla mandir,17.40616,78.46743,bus_stop
aghapalli,17.1346,78.6715,bus_stop
aghapura,17.383,78.46556,bus_stop
aghapura,17.38301,78.46592,bus_stop
aghapura bus stop,17.38234,78.46372,bus_stop
aghapura bus stop,17.38231,78.46372,bus_stop
aghapura bus stop,17.38248,78.46102,bus_stop
agriculture research institute,17.32137,78.39953,bus_stop
agriculture research institute,17.32122,78.39962,bus_stop
ahmedha guda,17.4985,78.61168,bus_stop
ahmedha guda,17.49833,78.61118,bus_stop
ahmedia bus stop,17.40366,78.44096,bus_stop
airforce bus stop,17.53803,78.519,bus_stop
airport backside,17.45185,78.48597,bus_stop
akbar bagh,17.36715,78.5052,bus_stop
akbar bagh,17.36735,78.50512,bus_stop
alagadda baavi north bus stop,17.43548,78.51419,bus_stop
alakapuri colony uppal,17.36503,78.55665,bus_stop
aliabad,17.6252,78.59154,bus_stop
aliabad,17.62565,78.5923,bus_stop
aliabad x road,17.61918,78.57161,bus_stop
aliabad x road,17.61897,78.57146,bus_stop
alind / doyens colony,17.47667,78.32456,bus_stop
alind / doyens colony,17.4767,78.32476,bus_stop
aliyabad,17.34438,78.46999,bus_stop
aliyabad / shamsheergunj,17.34339,78.46964,bus_stop
alkapuri,17.36403,78.55737,bus_stop
alkapuri / alkapuri colony uppal,17.36599,78.55694,bus_stop
allwyn 1st phase jalakanya hotel,17.5044,78.4157,bus_stop
allwyn 1st phase jalakanya hotel,17.50421,78.41585,bus_stop
allwyn colony,17.50526,78.41143,bus_stop
allwyn colony,17.50537,78.41131,bus_stop
allwyn colony,17.45672,78.43978,bus_stop
allwyn colony,17.45688,78.43984,bus_stop
allwyn colony x road,17.49335,78.35182,bus_stop
allwyn colony x road bus stop,17.49246,78.35275,bus_stop
allwyn colony x road bus stop,17.4945,78.35219,bus_stop
allwyn erragadda,17.45371,78.43484,bus_stop
allwyn phase 1,17.50219,78.41873,bus_stop
allwyn phase 1,17.50188,78.41885,bus_stop
allwyn phase 1,17.50211,78.41916,bus_stop
allwyn x road,17.49336,78.35148,bus_stop
allwyn x road,17.49381,78.34986,bus_stop
allwyn x road,17.49192,78.35314,bus_stop
allwyn x road,17.49452,78.35218,bus_stop
almasguda,17.30929,78.533,bus_stop
almasguda,17.30934,78.53322,bus_stop
almasguda cyr colony bus stop,17.3074,78.53533,bus_stop
